,n,y,?
0,45.129757,24.744415,30.125832
1,29.653221,40.60462,29.74216
2,23.747427,40.08701,36.165573
3,34.607704,35.715492,29.676804
4,40.681423,25.908678,33.4099
5,43.237427,26.324451,30.438122
6,36.769203,34.254017,28.97678
7,34.067665,40.082813,25.84953
8,36.380016,34.013264,29.606728
9,37.369072,24.975895,37.655033
10,32.49142,34.603363,32.905216
11,38.291786,28.758196,32.950012
12,33.572296,40.748875,25.678835
13,37.511707,28.895933,33.59236
14,45.25772,24.685387,30.056896
15,33.98453,33.615437,32.40004
16,35.14041,29.08775,35.77184
17,38.640717,30.868092,30.491194
18,35.51634,32.36449,32.119175
19,28.213346,42.590347,29.196304
20,38.556725,24.708933,36.734337
21,37.262894,33.443226,29.29388
22,38.510345,32.019257,29.4704
23,36.64054,30.4341,32.925358
24,33.955162,33.602253,32.44259
25,39.53974,34.24205,26.218206
26,29.810848,37.23088,32.958267
27,38.660458,24.181953,37.157593
28,27.101213,39.095436,33.803345
29,35.218395,33.87699,30.904615
30,22.957466,42.822094,34.220432
31,39.664753,26.594582,33.74066
32,31.322803,28.261126,40.416073
33,37.69352,40.876095,21.43038
34,32.53963,30.985542,36.47483
35,39.39323,29.185835,31.420929
36,34.343643,31.649097,34.007256
37,39.661884,29.448906,30.889204
38,30.352333,37.038826,32.60884
39,33.126766,29.611895,37.261345
40,50.24309,23.198996,26.557917
41,33.745377,31.494415,34.76021
42,38.354584,28.750492,32.894928
43,32.31868,33.02697,34.654343
44,36.676826,37.282135,26.04104
45,48.21462,23.633112,28.152266
46,41.893024,29.619476,28.487501
47,37.5025,29.785738,32.71176
48,37.52389,26.153738,36.32237
49,35.08239,37.007393,27.910221
50,39.27015,31.494478,29.235369
51,37.127346,25.130575,37.742077
52,34.468746,32.20796,33.323296
53,34.530243,36.503113,28.96664
54,41.421555,34.359566,24.218878
55,20.562592,43.53472,35.902683
56,37.455387,31.295422,31.249193
57,37.832836,29.752047,32.415123
58,42.103077,23.11146,34.78546
59,34.864033,29.374096,35.76187
60,29.296026,34.914917,35.789062
61,46.686756,28.441462,24.871784
62,24.398487,39.842297,35.759216
63,31.361994,36.88982,31.748188
64,34.90664,28.79434,36.299023
65,30.589214,40.521477,28.889305
66,37.103153,32.01236,30.88449
67,31.344723,27.561886,41.093395
68,37.45543,33.461193,29.083384
