,n,y,?
0,35.724716,37.799366,26.475924
1,30.194527,53.782337,16.023132
2,12.612106,60.197586,27.19031
3,20.963816,63.606625,15.42956
4,15.395348,35.577713,49.026936
5,17.588497,16.735485,65.67602
6,31.685335,18.201143,50.11352
7,13.334091,69.27527,17.390638
8,68.788246,12.887085,18.324661
9,65.11529,18.556305,16.32841
10,43.23147,22.995546,33.77298
11,66.15388,11.956459,21.889662
12,12.796964,65.61402,21.58902
13,41.03409,36.46448,22.501429
14,50.793068,22.034271,27.17266
15,45.87621,23.609888,30.513903
16,64.39495,12.459262,23.14578
17,17.806477,17.12217,65.07135
18,21.694254,16.56326,61.74249
19,14.860614,25.736635,59.402744
20,14.313815,32.20856,53.477623
21,66.57719,12.465645,20.957172
22,18.284462,35.105915,46.609623
23,59.600414,22.147675,18.251911
24,15.552798,22.779278,61.66793
25,13.851404,69.16906,16.979548
26,13.27822,68.614784,18.106998
27,58.383144,25.122456,16.4944
28,13.011089,68.47383,18.515085
29,67.20787,15.566237,17.225891
30,22.351582,56.137604,21.510817
31,68.34356,12.896688,18.75975
32,36.99662,28.290943,34.712433
33,15.103078,65.81552,19.081406
34,68.01323,12.430259,19.556507
35,15.84318,67.44466,16.712158
36,40.43346,15.712428,43.85411
37,66.35782,15.085814,18.556372
38,12.140417,67.12192,20.73767
39,67.600494,15.758297,16.641212
40,68.85884,13.618745,17.522415
41,68.269325,14.262666,17.468014
42,65.75147,13.030471,21.218052
43,42.248783,30.828392,26.922829
44,14.455244,69.600174,15.944579
45,61.118256,21.636564,17.24518
46,50.677757,13.775947,35.546295
47,67.46111,16.00776,16.531126
48,60.987698,14.495473,24.51683
49,13.002701,69.41448,17.582817
50,53.195995,26.35799,20.44601
51,19.918129,15.40401,64.677864
52,20.438677,62.066227,17.49509
53,12.813499,68.833694,18.352798
54,12.570631,68.53514,18.894226
55,14.316802,30.628553,55.054646
56,57.849842,11.443174,30.706982
57,60.168476,23.214699,16.616829
58,14.590256,69.63523,15.7745075
59,57.869488,23.831596,18.298914
60,18.565804,62.816536,18.617662
61,42.971985,12.869127,44.158886
62,12.765852,67.10023,20.133919
63,14.103977,69.71824,16.177778
64,12.67661,68.6051,18.718287
65,58.78295,24.340466,16.876581
66,67.96758,14.863264,17.16915
67,29.263098,51.473354,19.263548
68,66.41576,17.147558,16.436682
69,68.36558,12.456095,19.178326
70,49.20811,31.459606,19.33229
71,12.602427,68.84137,18.556206
72,16.73582,39.43476,43.829422
73,61.805367,21.552544,16.64209
74,17.45222,35.644306,46.90347
75,25.658592,15.112615,59.228783
76,20.21959,64.74398,15.036429
77,14.730221,55.861843,29.407936
78,60.184444,22.5795,17.236055
79,13.941651,68.39096,17.667389
80,28.21332,28.712399,43.07429
81,16.219734,37.940598,45.83967
82,30.726353,16.108704,53.164936
83,61.72497,16.764317,21.510717
84,12.4391775,59.976124,27.584692
85,13.049288,69.67089,17.279821
86,68.98098,13.493885,17.525137
87,18.197048,66.20924,15.593703
88,64.91845,18.209206,16.872347
89,13.617616,66.63957,19.74281
90,13.151211,69.62996,17.21884
91,46.873936,26.983706,26.142355
92,12.187741,64.98801,22.824251
93,67.636246,13.0255785,19.338171
94,13.538175,68.90407,17.557762
95,19.287298,28.581758,52.13095
96,44.91185,26.3347,28.753448
97,28.10866,55.53804,16.353298
98,27.465471,19.02824,53.50629
99,22.516342,58.058727,19.424936
100,25.000748,13.770035,61.229218
101,12.656328,69.45407,17.889612
102,60.946964,13.140723,25.912308
103,25.058603,14.496649,60.444744
104,62.188385,17.756737,20.054876
105,51.944042,14.868961,33.187
106,61.146503,12.193797,26.659695
107,20.733496,15.250832,64.01567
108,51.070667,13.73596,35.19337
109,45.16547,18.66154,36.172993
110,58.36361,23.00085,18.63553
111,59.78511,12.424409,27.790483
112,67.8151,12.500315,19.68458
113,13.375737,69.976494,16.64777
114,14.525759,47.642746,37.83149
115,15.50529,46.36099,38.13372
116,64.24745,11.880678,23.871868
117,12.833641,68.3088,18.857555
118,15.454454,68.80873,15.73682
119,67.652176,12.915507,19.432312
120,67.50637,13.939116,18.554512
121,68.12399,13.818368,18.057646
122,29.000727,50.571777,20.427496
123,51.493,30.502731,18.00427
124,18.686512,16.066498,65.246994
125,68.77874,13.453709,17.767553
126,14.355495,67.60065,18.043858
127,14.520675,69.339584,16.139738
128,25.688951,13.862591,60.448456
129,41.32269,12.892528,45.78478
130,63.554752,13.81694,22.628304
131,16.020594,21.353582,62.625824
132,17.711126,26.42073,55.86814
133,19.85775,15.807126,64.33513
134,68.35882,14.119453,17.521727
135,54.033745,27.870678,18.095572
136,68.16636,13.967008,17.866629
137,13.560995,70.10059,16.338417
138,64.51916,18.555664,16.925173
139,37.902496,36.49325,25.604263
140,51.879246,12.795724,35.32503
141,36.340843,15.368499,48.290657
142,17.11138,22.14413,60.744488
143,67.21125,12.329033,20.459711
144,65.19605,17.753801,17.05015
145,15.145755,36.404186,48.450066
146,67.80128,13.055894,19.142822
147,13.141174,67.01768,19.841152
148,63.576626,12.013641,24.409735
149,25.163784,52.566803,22.269411
150,63.709103,12.648961,23.641937
151,17.950918,17.407677,64.6414
152,37.425213,43.780987,18.793798
153,12.3603115,67.58402,20.055662
154,45.06606,37.01306,17.92088
155,54.68284,19.762882,25.55428
156,15.732434,21.76619,62.50137
157,67.90056,14.160575,17.938868
158,13.452101,68.99282,17.555075
159,65.20954,17.576933,17.213531
160,16.021776,51.584373,32.393852
161,19.051647,65.596886,15.351468
162,18.253325,53.504585,28.242096
163,12.359734,65.14818,22.492086
164,24.954977,57.636868,17.408152
165,62.944866,12.966524,24.088612
166,30.60432,13.217486,56.17819
167,34.22421,28.824116,36.951675
168,13.070033,69.21741,17.712557
169,68.02481,12.591015,19.384176
170,57.957375,12.095494,29.947128
171,68.08191,14.495094,17.422993
