,n,y,?
0,33.440197,33.202908,33.35689
1,32.60948,32.941216,34.44931
2,33.384724,33.34072,33.274563
3,32.946613,33.4964,33.55699
4,34.026154,33.267506,32.70634
5,31.937828,33.981293,34.080883
6,33.114365,33.41201,33.47362
7,34.317875,29.095337,36.586784
8,31.8306,34.792233,33.377163
9,33.673927,33.485394,32.840675
10,32.973263,32.995815,34.03092
11,33.80422,32.93494,33.26084
12,33.006626,35.957047,31.036325
13,35.26059,30.591366,34.14805
14,33.534874,33.29392,33.17121
15,35.626488,32.541943,31.831568
16,32.957928,34.366753,32.67532
17,33.695396,31.552338,34.75227
18,33.75193,33.088593,33.15948
19,33.191856,33.887028,32.921116
20,33.71095,32.200573,34.088478
21,34.654804,34.03367,31.31153
22,33.856953,33.49248,32.650562
23,33.312195,33.066147,33.62166
24,33.721767,32.954243,33.323986
25,27.397146,38.561,34.04185
26,33.753174,32.84365,33.40317
27,33.96204,32.96248,33.075478
28,32.986374,32.991047,34.02258
29,33.442513,33.041313,33.51618
30,33.032883,34.22141,32.74571
31,33.751453,33.509655,32.738895
32,33.499153,33.18147,33.31938
33,33.158703,33.7061,33.135197
34,33.22515,32.30347,34.47137
35,33.328636,33.22678,33.444588
36,33.912556,31.888947,34.198494
37,33.082027,32.82211,34.09586
38,33.558678,33.407505,33.033817
39,33.206066,32.454456,34.33948
40,33.110706,34.03347,32.855827
41,33.268654,34.820324,31.911018
42,33.41883,32.038113,34.543056
43,33.920357,34.470425,31.609222
44,33.930183,33.29336,32.776455
45,32.552113,32.81617,34.63172
46,34.367104,34.70162,30.931273
47,36.109196,32.52278,31.368029
48,33.898094,33.68606,32.415848
49,32.79528,34.788845,32.41588
50,34.263374,33.646168,32.090458
51,32.97535,34.163258,32.861393
52,34.196533,32.218678,33.584793
53,33.82412,32.78576,33.39012
54,34.26987,33.322098,32.40804
55,33.57997,33.408978,33.01105
56,33.33807,32.61523,34.0467
57,33.315544,33.9637,32.720764
58,33.12554,32.30553,34.568928
59,33.935555,33.00162,33.062824
60,33.396305,34.007965,32.595722
61,33.616302,32.86093,33.522762
62,33.61815,31.987852,34.393997
63,33.39373,33.976425,32.629845
64,32.808758,33.75385,33.437397
65,33.820087,33.153397,33.02652
66,33.83499,33.09057,33.07444
67,33.132725,33.95243,32.91485
68,34.00738,33.329384,32.66323
69,33.68535,33.537178,32.777473
70,30.769283,36.249554,32.98117
71,33.438854,34.70153,31.859615
72,33.14068,33.54825,33.31107
73,33.411278,33.181347,33.407375
74,32.68909,33.178257,34.132652
75,33.937782,32.403835,33.65838
76,33.264507,33.505745,33.22975
77,34.02655,32.399483,33.57396
78,33.890934,33.035713,33.07335
79,33.88283,32.66471,33.452457
80,32.003708,33.268852,34.727444
81,34.863758,32.308884,32.82736
