,n,y,?
0,33.660282,32.99292,33.346786
1,33.82776,33.197083,32.975155
2,32.943275,33.929817,33.126907
3,32.88705,33.364788,33.748158
4,33.28788,33.785053,32.927063
5,33.499603,32.97508,33.52531
6,32.814045,33.94623,33.239723
7,33.01548,33.972965,33.01155
8,33.53772,32.84796,33.61431
9,33.16058,33.96409,32.87534
10,34.01863,32.734917,33.24645
11,33.033997,33.618793,33.347218
12,32.96585,34.02003,33.01412
13,33.525307,33.051197,33.423492
14,33.26876,33.91655,32.81468
15,32.748352,33.876225,33.37542
16,32.979156,33.61903,33.401806
17,32.975803,33.6629,33.36129
18,33.669464,32.805107,33.525433
19,33.488827,33.32042,33.190758
20,33.73054,32.734737,33.534725
21,33.05599,33.74719,33.19682
22,32.820484,33.498856,33.680653
23,33.231728,32.93744,33.830833
24,33.028645,33.68307,33.28829
25,33.948837,32.51803,33.53313
26,33.36137,33.112263,33.526367
27,32.872997,34.177574,32.949432
28,33.035828,33.561626,33.402546
29,34.00821,32.6179,33.37389
30,33.162567,33.06305,33.77438
31,33.993103,32.622673,33.384235
32,32.74179,33.627857,33.630352
33,33.595783,32.574516,33.8297
34,33.427254,33.31125,33.261497
35,33.33612,33.858196,32.805687
36,33.325603,33.33601,33.33838
37,33.486115,33.27656,33.237328
38,33.411507,32.68465,33.903847
39,33.373203,32.770103,33.85669
40,33.1662,33.886234,32.94757
41,33.474968,33.058277,33.46676
42,33.776585,32.625134,33.59828
43,34.005123,32.56222,33.43266
44,33.047752,33.91667,33.035583
45,33.393356,32.99188,33.614765
46,33.981438,32.802338,33.21622
47,33.92204,32.536587,33.541367
48,33.29943,32.911892,33.788673
49,33.445522,33.469456,33.085014
50,33.75178,33.107548,33.14067
51,33.367615,33.777042,32.855347
52,33.033382,33.71921,33.24741
53,33.381893,33.64302,32.97509
54,33.79749,32.828686,33.373825
55,33.368443,33.1229,33.508667
56,33.73946,32.791004,33.469536
57,32.850643,33.606045,33.54331
58,33.416027,32.913563,33.67041
59,33.212368,33.04469,33.742943
60,33.343742,33.32117,33.33509
61,33.002087,34.128757,32.869156
62,32.789165,33.84165,33.36919
63,32.80526,33.946808,33.24794
64,32.785,34.15595,33.05906
65,33.246902,33.402397,33.350708
66,33.795296,33.167995,33.036713
67,33.237366,33.83934,32.923298
68,33.570724,32.756374,33.672897
69,33.445026,33.15383,33.401134
70,33.01458,34.126396,32.85903
71,33.28995,33.020763,33.68929
72,32.997192,34.142036,32.860767
73,33.182594,33.735825,33.08158
74,33.654068,32.85092,33.49501
75,33.650787,33.461372,32.887844
76,33.38519,33.52129,33.09352
77,33.439957,32.85526,33.70479
78,33.850853,32.527252,33.621895
79,32.76409,34.08924,33.146664
80,33.759262,33.11413,33.12661
81,33.91772,32.816452,33.26583
82,33.343773,33.460835,33.195393
83,33.035095,34.112583,32.85233
84,33.402584,32.715782,33.881634
85,33.025326,34.105797,32.868877
86,33.586605,33.391514,33.021877
87,33.315872,32.784645,33.89948
88,33.494064,32.837673,33.66826
89,33.69926,32.923798,33.376945
90,32.908154,33.94915,33.142696
91,33.229225,33.01132,33.759457
92,33.534443,33.231743,33.233818
93,33.587223,32.58714,33.82564
94,33.53235,33.09878,33.368874
95,33.608036,32.69593,33.696033
96,33.423145,32.785942,33.79091
97,33.23643,32.88248,33.881084
98,33.825054,32.99046,33.184486
99,33.143425,34.04054,32.816036
100,33.947018,32.919533,33.133446
101,33.141,32.967144,33.891857
102,33.03479,33.152004,33.81321
103,32.89073,34.134613,32.97466
104,33.636288,33.37051,32.99321
105,32.98297,33.327248,33.689777
106,33.266567,33.40424,33.329193
107,33.68662,32.66428,33.649097
108,32.764656,33.89534,33.340008
109,33.919033,32.888958,33.192017
110,33.463623,33.251938,33.28444
111,33.90021,32.862427,33.237362
112,33.653633,32.9761,33.37027
113,33.593815,32.695827,33.71036
114,33.327457,33.01546,33.65708
115,33.288784,33.63644,33.07477
116,32.69538,33.83531,33.469303
117,33.911175,32.776375,33.312443
118,33.282513,33.725773,32.991714
119,33.60029,32.675232,33.72448
120,33.133377,33.83583,33.03079
121,33.231014,33.978886,32.7901
122,32.888706,34.15102,32.960266
123,33.349792,33.020123,33.630077
124,33.419643,32.861088,33.719273
125,33.675117,32.878475,33.44641
126,33.58553,33.571705,32.842766
127,33.342564,33.01782,33.639618
128,32.701744,34.0914,33.206863
129,33.837147,33.06314,33.099716
130,33.19377,33.033134,33.773087
131,33.1673,33.348675,33.48402
132,33.865124,32.737,33.397873
133,33.22308,32.900898,33.876026
134,33.797256,33.261852,32.940895
135,33.022728,34.020752,32.956512
136,32.7163,34.14133,33.142365
137,33.611767,33.43798,32.950253
138,32.825043,34.089626,33.085335
139,33.68414,32.82323,33.492626
140,33.417,33.166145,33.41686
141,32.933662,34.054947,33.0114
142,33.945602,32.548256,33.50614
143,33.010925,34.07792,32.911156
144,33.160507,33.277596,33.5619
145,32.993145,33.503487,33.503376
146,33.173405,33.72333,33.10326
147,32.973827,33.22305,33.803116
148,33.53888,33.408733,33.052383
149,33.00665,33.564167,33.42918
150,33.41897,32.84658,33.734447
151,33.970943,32.952538,33.076515
152,33.062424,33.623184,33.314384
153,32.951748,33.269886,33.778362
154,33.16,33.363575,33.47643
155,33.86009,33.17407,32.965847
156,33.223404,33.80419,32.972404
157,33.740444,32.686817,33.57274
158,33.654526,33.269222,33.076256
159,32.92148,33.470528,33.60799
160,32.996143,33.764366,33.239494
161,33.596344,32.83803,33.56562
162,34.02066,32.63672,33.342617
163,32.834637,34.034103,33.13126
164,33.55838,33.159794,33.281826
165,33.627003,33.00923,33.36376
166,33.20858,32.95173,33.839695
167,33.410404,33.174957,33.414635
168,33.054237,34.037594,32.908173
169,33.91223,33.05825,33.02951
170,33.570023,32.600872,33.829098
171,32.965965,34.0063,33.027733
172,33.45129,32.942062,33.606647
173,33.76764,33.242764,32.989605
174,33.197926,34.008602,32.793472
175,33.64538,32.749664,33.60495
176,33.786304,33.208195,33.005505
177,33.614414,33.164387,33.2212
178,33.30147,32.840996,33.857525
179,33.816605,32.779476,33.403915
180,33.53121,32.60911,33.859684
181,33.218006,32.895428,33.886562
182,33.43933,33.384087,33.17658
183,32.823017,34.095444,33.08154
184,33.385715,32.753193,33.861088
185,33.113167,33.838333,33.048496
186,32.9597,33.93552,33.104782
187,33.388855,32.87768,33.733463
188,33.453472,33.588207,32.958324
189,33.013863,33.481495,33.50465
190,33.178135,32.92022,33.90164
191,33.31189,32.793064,33.89505
192,33.288784,33.15523,33.55598
193,33.132156,33.810207,33.057632
194,33.837883,32.756172,33.40594
195,32.850857,34.058895,33.090256
196,33.27526,32.972404,33.752327
197,32.860203,34.143852,32.995945
198,33.50629,32.790653,33.703053
199,33.38641,33.6088,33.004784
200,32.992607,33.66164,33.34575
201,33.2973,33.861725,32.84098
202,33.680378,32.835266,33.484356
203,33.4831,32.723946,33.792957
204,33.324436,33.750725,32.924843
205,32.747986,34.088768,33.163242
206,33.634033,32.561165,33.8048
207,32.742897,33.75233,33.504772
208,32.84251,33.94551,33.21198
209,33.76753,32.781242,33.45122
210,33.872875,32.52593,33.601192
211,33.31572,33.71949,32.964783
212,32.834713,34.060112,33.105183
213,32.88618,33.365852,33.747967
214,33.384327,32.832348,33.783325
215,33.536133,32.612045,33.851818
216,33.443382,33.404194,33.152424
217,33.0713,33.37329,33.55541
218,33.060707,33.475323,33.46397
219,33.24948,33.661736,33.088787
220,33.1744,33.211166,33.614433
221,33.265488,33.830307,32.904198
222,33.616608,33.213825,33.169563
223,33.069412,33.94434,32.986244
224,33.784687,32.816082,33.39923
225,32.88887,33.89473,33.2164
226,33.13545,33.35027,33.514275
227,33.390903,32.959766,33.64933
228,33.86615,32.914345,33.2195
229,34.005436,32.665943,33.32862
230,33.026947,34.109364,32.86369
231,33.88554,32.586693,33.527763
232,33.478397,32.710384,33.811214
233,32.960682,33.575657,33.46366
234,32.908092,33.667953,33.423946
