,n,?,y
0,66.49054,16.678242,16.831224
1,19.06362,67.34978,13.586603
2,66.44215,20.30168,13.256179
3,67.47229,18.456654,14.071052
4,16.82162,17.88003,65.29835
5,62.207077,25.786144,12.006779
6,62.254757,25.886818,11.858418
7,34.49998,35.44627,30.05375
8,27.111113,55.90636,16.982536
9,61.185204,15.260681,23.554113
10,16.870274,67.42554,15.704192
11,64.1369,23.260616,12.602481
12,19.325428,52.278507,28.39606
13,39.747486,41.307384,18.945127
14,22.415043,13.226186,64.35877
15,32.125053,19.74538,48.129566
16,38.611225,42.47936,18.909418
17,13.90254,25.075245,61.022217
18,13.652661,18.064035,68.2833
19,21.533669,36.22246,42.24387
20,14.796503,13.305192,71.89831
21,60.128246,27.09099,12.780762
22,14.757016,21.033733,64.20924
23,16.058329,20.459055,63.482613
24,20.291594,12.454756,67.253654
25,17.232649,24.343302,58.424057
26,13.776538,15.071066,71.1524
27,21.154366,13.230763,65.614876
28,13.704112,15.3030205,70.99287
29,53.30959,18.009256,28.681156
30,17.687168,49.17019,33.142643
31,18.495308,12.223233,69.281456
32,66.75486,19.684202,13.560945
33,15.756063,62.327724,21.916208
34,51.397247,24.668304,23.93445
35,20.747011,16.033333,63.219654
36,13.864695,14.378086,71.75722
37,63.88766,23.968548,12.14379
38,28.281052,49.5763,22.142641
39,20.13375,67.56434,12.3019085
40,13.395526,15.98453,70.619934
41,59.883743,28.192558,11.923699
42,33.588352,15.751916,50.65973
43,16.355284,12.745038,70.89967
44,50.685226,26.58366,22.731117
45,48.488117,15.152226,36.359657
46,20.692835,15.210345,64.09682
47,18.08985,68.42441,13.485739
48,64.065796,15.570238,20.363966
49,33.2994,18.705986,47.994606
50,13.889815,15.018868,71.09132
51,14.866145,15.140952,69.9929
52,21.951017,16.579523,61.469467
53,18.725916,52.56068,28.713406
54,61.86297,15.700186,22.43684
55,68.357346,18.292341,13.350305
56,24.32241,64.270035,11.407553
57,43.218323,43.527386,13.254288
58,65.31107,16.264774,18.424145
59,13.275795,17.467903,69.2563
60,57.590145,15.3884735,27.021376
61,16.89228,67.555626,15.55209
62,16.742182,67.18784,16.069975
63,18.249556,12.334573,69.41587
64,13.245612,16.818094,69.93629
65,24.919842,63.47177,11.608385
66,14.219119,14.409834,71.37104
67,58.72167,29.118427,12.159904
68,35.790478,17.058464,47.15106
69,13.401164,18.195366,68.40347
70,30.252886,45.44884,24.29827
71,13.654291,17.483583,68.86213
72,61.050995,16.425034,22.52397
73,19.269457,37.919975,42.810574
74,66.90946,20.104773,12.98576
75,55.778687,15.330446,28.89086
76,17.05265,12.441148,70.5062
77,14.032284,14.47995,71.48777
78,21.946335,66.211914,11.841749
79,26.412714,38.109146,35.478134
80,23.155434,55.947,20.89757
81,27.246206,21.882748,50.87104
82,27.173746,61.543053,11.283203
83,51.945286,34.26209,13.7926235
84,14.576785,13.7479515,71.67526
85,67.37879,17.213276,15.407932
86,50.399303,15.127362,34.47333
87,46.431847,41.30201,12.26614
88,67.897255,16.8804,15.222343
89,19.167982,23.213997,57.618023
90,30.124664,22.990984,46.884354
91,20.996296,66.92267,12.081039
92,14.76957,20.594772,64.63565
93,30.512146,50.180862,19.306997
94,15.162042,20.03773,64.80023
95,32.50771,12.619998,54.872288
96,40.84809,16.040129,43.111774
97,14.841117,14.723756,70.43513
98,67.155045,16.659218,16.185738
99,68.32414,17.359787,14.316064
100,64.28334,15.822801,19.893858
101,13.553813,15.667825,70.778366
102,14.788561,13.200571,72.01087
103,23.466557,65.02469,11.508759
104,19.419727,59.787186,20.793093
105,67.466995,16.72784,15.805165
106,17.127422,30.46891,52.403664
107,17.425026,12.40055,70.17442
108,49.931595,15.432438,34.635963
109,14.836266,13.11848,72.04525
110,14.176555,33.913223,51.91023
111,14.102246,13.691407,72.206345
112,66.22098,21.272575,12.506443
113,53.164227,16.980434,29.855337
114,30.11489,12.791353,57.093758
115,15.504328,13.2863865,71.20929
116,16.44724,66.65841,16.894354
117,23.852322,63.737686,12.40999
118,16.984835,67.889824,15.125336
119,31.932953,55.199017,12.8680315
120,56.973545,31.552135,11.474319
121,29.353725,59.784973,10.861303
122,18.093548,12.346903,69.55955
123,66.38793,20.500443,13.11162
124,67.34356,19.484182,13.172263
125,18.889786,67.581345,13.528864
126,25.756527,13.960605,60.282875
127,60.44203,27.899118,11.658845
128,22.20611,65.89995,11.893948
129,14.723092,13.883437,71.39347
130,66.38798,16.538412,17.073614
131,14.743084,12.810145,72.44677
132,66.82682,19.778538,13.394642
133,12.91252,18.923704,68.16377
134,21.312258,53.56791,25.11983
135,66.237564,19.15829,14.604141
136,64.12172,21.76161,14.116667
137,21.781631,13.511843,64.70652
138,16.445503,67.50195,16.052536
139,15.877228,59.51979,24.60298
140,66.68621,16.1931,17.120699
141,49.825222,17.763212,32.411568
142,21.640507,45.521255,32.838234
143,66.728584,19.864563,13.406844
144,61.428307,26.498981,12.072708
145,16.423569,13.069597,70.50684
146,66.59141,20.619217,12.789373
147,33.832542,13.783609,52.383846
148,46.019653,14.214261,39.766087
149,16.369442,12.659337,70.97123
150,16.821308,64.72619,18.452503
151,30.621147,56.161476,13.217376
152,65.108894,22.327938,12.563168
153,65.62069,16.266064,18.113241
154,13.129356,17.43181,69.43883
155,18.082748,12.330267,69.58699
156,44.92993,43.143955,11.926105
157,19.937502,67.33979,12.722705
158,24.464518,29.588696,45.94679
159,18.663055,12.486481,68.85047
160,66.53021,18.29948,15.170314
161,25.330873,63.195724,11.473399
162,66.452255,19.031353,14.516391
163,14.998608,13.349575,71.65182
164,16.349075,67.35126,16.299671
165,16.068695,64.46977,19.46153
166,22.221418,55.968697,21.809885
167,66.13435,19.526861,14.338781
168,14.838365,12.9825115,72.17912
169,51.798363,16.374462,31.827173
170,43.51761,14.037223,42.445164
171,32.0874,43.098633,24.813969
172,20.846987,66.92725,12.225759
173,15.057389,22.329369,62.613243
174,50.36176,25.771454,23.86678
175,59.363834,29.039246,11.596917
176,13.347027,15.940698,70.71227
177,28.34187,42.44933,29.2088
178,14.483589,20.601824,64.91458
179,18.989553,45.10834,35.9021
180,25.520578,12.85117,61.628254
181,33.54354,15.569906,50.886555
182,16.918715,68.40612,14.6751585
183,23.784952,15.339669,60.875385
184,25.745165,62.9797,11.275135
185,37.74126,47.535984,14.722757
186,17.819925,68.40223,13.777847
187,15.025775,13.449831,71.52439
188,13.329824,16.653173,70.017006
189,63.370003,24.370115,12.259883
190,16.509861,67.486176,16.003967
191,60.25574,15.102485,24.64177
192,13.377404,15.929196,70.69339
193,16.213617,66.77171,17.01468
194,16.17995,66.41672,17.40334
195,68.48051,16.789268,14.730224
196,66.1915,17.304285,16.504221
197,42.637253,13.869262,43.49348
198,13.678143,27.752134,58.569725
199,41.35185,47.167255,11.480895
200,15.374257,18.552322,66.07341
201,17.580359,53.80141,28.618235
202,60.26342,24.716593,15.019991
203,37.68098,14.005854,48.313164
204,48.39559,38.214874,13.389542
205,65.83281,17.710796,16.456396
206,30.313349,50.287426,19.39922
207,36.481155,51.999325,11.519523
208,24.118645,13.186173,62.695183
209,60.164597,15.552892,24.282513
210,57.38289,30.560646,12.056472
211,57.559734,27.819916,14.620352
212,33.487858,54.10189,12.410245
213,14.31026,15.878902,69.81084
214,52.27662,17.004425,30.718958
215,18.148842,64.47303,17.37814
216,66.92115,16.325573,16.753275
217,17.765327,12.33693,69.89775
218,66.67406,17.009794,16.316143
219,62.78308,15.704246,21.512676
220,16.755966,65.186935,18.057102
221,20.47424,12.079336,67.44643
222,19.972418,67.43779,12.589788
223,45.286797,43.02469,11.68851
224,67.542984,19.545887,12.911126
225,65.61836,16.935284,17.44635
226,13.679628,14.801809,71.51856
227,24.396235,64.19526,11.408517
228,31.337128,13.700607,54.96226
229,14.573087,33.902252,51.52466
230,18.618233,67.81344,13.568327
231,45.37214,39.33207,15.295792
232,13.14763,19.735704,67.11667
233,42.297276,14.589928,43.112797
234,46.43298,41.549923,12.017093
235,65.19433,22.076708,12.728964
236,20.822868,36.61392,42.563213
237,52.10723,34.99704,12.895725
238,58.362137,29.82368,11.814178
239,36.21377,52.639038,11.147197
240,35.711998,52.72256,11.5654335
241,60.664673,14.84212,24.493214
242,43.635643,14.79308,41.571278
243,16.652298,35.059547,48.288155
244,65.47499,17.83742,16.68759
245,19.1066,31.57001,49.32339
246,33.060028,25.071478,41.86849
247,13.253249,18.035603,68.71115
248,19.677372,68.240234,12.082397
249,66.39917,18.998781,14.602046
250,65.33292,15.929119,18.737965
251,16.509329,66.69849,16.792175
252,51.599342,14.471826,33.928837
253,30.881077,28.541824,40.577103
254,15.418413,12.689554,71.89204
255,66.574005,19.382402,14.043593
256,54.176895,14.231941,31.591167
257,66.42626,18.139362,15.4343815
258,23.48661,43.618816,32.894577
