,n,?,y
0,32.71523,33.290237,33.994537
1,33.136368,33.339928,33.523705
2,32.288975,34.676113,33.03491
3,32.05311,32.85177,35.095127
4,33.693115,32.362316,33.94457
5,32.931988,32.430847,34.637165
6,35.05502,32.063263,32.881718
7,33.899426,32.94435,33.156216
8,33.250896,34.595726,32.15338
9,31.968264,33.70866,34.323074
10,33.608166,32.98279,33.409042
11,32.931526,34.425335,32.64314
12,33.51204,33.141552,33.346413
13,32.22123,34.05076,33.72802
14,32.173695,32.993706,34.832596
15,33.359657,33.45429,33.18606
16,33.439026,33.39973,33.161243
17,33.198975,33.424225,33.376797
18,33.132538,33.174953,33.69251
19,32.6122,34.018887,33.368908
20,33.674026,32.09334,34.232635
21,33.834534,34.349068,31.816397
22,33.28699,32.843147,33.86986
23,34.371742,32.94012,32.688133
24,33.843925,33.559002,32.597073
25,32.46421,33.86623,33.66956
26,32.184444,33.11414,34.70142
27,33.446804,33.884895,32.668297
28,32.73143,32.977207,34.291367
29,33.031567,34.38359,32.584846
30,33.281715,32.369785,34.348495
31,33.023636,33.211517,33.764843
32,34.282852,31.885586,33.831566
33,34.058304,33.464207,32.47749
34,33.349552,32.44262,34.207825
35,32.802174,33.651608,33.546223
36,33.926754,34.187737,31.885511
37,33.64135,32.973324,33.385326
38,32.932285,33.1327,33.93501
39,33.59672,33.29108,33.1122
40,32.58452,34.648735,32.766743
41,33.2641,32.466568,34.269333
42,33.243835,32.697025,34.05914
43,34.442184,33.668247,31.889576
44,36.769012,32.094627,31.136364
45,32.92169,33.37555,33.702763
46,33.81193,33.62135,32.56672
47,33.50738,33.43233,33.060284
48,32.451294,33.351128,34.197582
49,33.253815,32.484276,34.261906
50,33.516235,33.035694,33.44807
51,34.65389,33.096622,32.24949
52,33.49449,32.489067,34.016438
53,33.30513,33.447403,33.247475
54,34.33081,33.020054,32.64913
55,32.65551,33.45147,33.89302
56,32.72582,33.82551,33.448673
57,33.061146,33.484882,33.453976
58,34.072308,32.74147,33.186226
59,32.905857,33.618183,33.475956
60,34.319374,32.3345,33.34613
61,34.4621,31.897285,33.640617
62,33.959106,32.72669,33.314198
63,32.7278,33.85806,33.414146
64,33.56808,31.337934,35.093987
65,31.948498,35.594444,32.457058
66,32.77335,33.403168,33.823486
67,32.89435,34.28543,32.820225
68,32.865612,32.562412,34.571976
69,33.47228,32.788773,33.738945
70,32.426792,33.37952,34.193687
71,33.76987,33.270134,32.96
72,32.564785,32.84334,34.591866
73,32.732056,32.93598,34.331963
74,33.606586,32.26836,34.12505
75,33.64588,32.48811,33.866005
76,33.30021,34.02313,32.67666
77,32.608864,33.76872,33.62242
78,33.22998,32.903286,33.866734
79,33.609818,34.126762,32.263416
80,33.26549,33.328762,33.405743
81,33.62078,33.2386,33.140617
82,33.596207,32.99552,33.408276
83,33.34599,33.019096,33.634914
84,33.533997,33.257416,33.20859
85,32.875736,33.153393,33.970867
86,34.007626,31.428719,34.563656
87,32.513264,31.940577,35.546158
88,33.41358,33.126675,33.45974
89,34.709656,32.51197,32.778366
90,33.592834,33.303135,33.10403
91,33.797752,33.173378,33.02887
92,32.208622,33.48651,34.30487
93,33.41781,33.707394,32.874798
94,32.01459,33.607258,34.378147
95,34.357517,32.272137,33.370346
96,33.846436,32.824356,33.32921
97,32.602657,32.305576,35.091763
98,33.685066,33.122955,33.191986
99,32.671238,35.11265,32.216118
100,32.35645,35.212967,32.430588
101,33.827858,34.07362,32.09852
102,32.382263,33.964294,33.653442
103,34.219765,30.01703,35.763203
104,32.93341,34.520958,32.54563
105,33.10852,33.77644,33.115044
106,33.16946,33.361046,33.46949
107,34.568604,32.25941,33.171986
108,33.68122,33.20497,33.113804
109,33.062405,33.34168,33.595913
110,33.03301,33.369724,33.597267
111,33.47057,34.1272,32.402225
112,32.49385,33.72546,33.780693
113,32.796764,33.1863,34.016933
114,33.246944,33.168335,33.58473
115,32.977337,33.778103,33.24456
116,32.418217,31.223255,36.358524
117,32.992123,34.025013,32.98286
118,33.04309,34.121452,32.835457
119,33.447536,33.745754,32.806705
120,37.01562,32.67769,30.306688
121,32.43064,33.952316,33.61705
122,33.190434,33.900936,32.90863
123,32.54048,32.812202,34.647312
124,33.562614,32.67966,33.75772
125,33.35347,33.21909,33.42744
126,34.27646,32.023296,33.70024
