,republican,democrat
0,91.0171,8.982899
1,9.363413,90.63658
2,8.769919,91.23008
3,12.321711,87.67829
4,8.734865,91.26514
5,9.184229,90.81577
6,91.312996,8.686996
7,91.097176,8.902821
8,8.738845,91.261154
9,91.02102,8.978978
10,91.12203,8.877962
11,26.930666,73.06934
12,10.665915,89.33409
13,89.79178,10.208225
14,68.10704,31.892958
15,55.403976,44.596027
16,8.933977,91.06602
17,91.29667,8.703335
18,9.439029,90.56097
19,9.080016,90.91998
20,9.004662,90.99534
21,8.748659,91.251335
22,8.902166,91.09784
23,9.775921,90.22408
24,80.91765,19.08236
25,8.889671,91.11033
26,9.235092,90.76491
27,91.307915,8.692084
28,9.676901,90.3231
29,91.292755,8.707237
30,13.154018,86.845985
31,26.46575,73.53425
32,91.28749,8.71251
33,75.185585,24.814419
34,76.89937,23.100634
35,90.5595,9.440498
36,91.15835,8.841657
37,91.19364,8.806359
38,8.978942,91.02106
39,16.120377,83.87962
40,74.38298,25.617018
41,84.962814,15.037187
42,8.891482,91.10851
43,9.001722,90.99828
44,8.760331,91.23967
45,10.106849,89.89315
46,8.715713,91.284294
47,8.989191,91.01081
48,91.244286,8.755717
49,8.781054,91.21895
50,90.7076,9.292395
51,20.228138,79.77186
52,90.491486,9.508519
53,8.751699,91.2483
54,91.289276,8.710722
55,43.163498,56.8365
56,91.235054,8.764947
57,89.056885,10.943111
58,91.15827,8.841724
59,8.73146,91.26854
60,91.312584,8.6874075
61,9.228046,90.77195
62,9.125718,90.874275
63,12.083389,87.91661
64,21.808613,78.19139
65,89.58865,10.411342
66,90.24485,9.7551565
67,9.428462,90.57154
68,13.319951,86.680046
69,17.181261,82.81874
70,72.03939,27.960613
71,14.120561,85.87944
72,84.23583,15.764167
73,8.833617,91.16638
74,9.278091,90.72191
75,8.998098,91.00191
76,8.759127,91.240875
77,9.394627,90.60537
78,91.10221,8.897792
79,13.294151,86.70585
80,8.742352,91.25765
81,41.891575,58.108425
82,91.3131,8.686902
83,89.73448,10.265514
84,8.7383,91.261696
85,91.308174,8.691823
86,90.97782,9.022182
87,9.692202,90.3078
88,90.95768,9.042319
89,19.991556,80.00844
90,8.694068,91.30593
91,16.5784,83.4216
92,9.089059,90.910934
93,10.507582,89.49242
94,8.921031,91.078964
95,37.94021,62.059795
96,10.04975,89.95025
97,66.59007,33.40993
98,91.0012,8.998804
99,11.915699,88.0843
100,8.860634,91.13937
101,9.28217,90.71783
102,15.698073,84.301926
103,21.853294,78.146706
104,10.325872,89.674126
105,91.16834,8.831656
106,91.27525,8.724743
107,8.726387,91.27361
108,8.712377,91.28763
109,8.743962,91.25604
110,91.10834,8.891663
111,15.196556,84.803444
112,91.310814,8.689187
113,8.796001,91.204
114,8.7026615,91.29734
115,10.056524,89.943474
116,80.88547,19.114532
117,43.666687,56.33331
118,91.28421,8.715788
119,91.31064,8.689364
120,89.113625,10.886372
121,91.31031,8.689689
122,91.31555,8.684448
123,10.9598,89.0402
124,55.842697,44.1573
125,79.307045,20.692951
126,8.755628,91.24437
127,28.62888,71.371124
128,8.885017,91.11498
129,8.734129,91.26587
130,8.975168,91.02483
131,90.98118,9.018823
132,69.502594,30.497412
133,91.285126,8.714874
134,91.28955,8.710447
135,90.441696,9.558297
136,9.654589,90.345406
137,8.737874,91.26212
138,46.09681,53.903187
139,91.109886,8.890115
140,79.5528,20.447193
141,90.56684,9.433163
142,10.652146,89.347855
143,9.584299,90.415695
144,17.651943,82.34805
145,90.89057,9.109434
146,91.26084,8.739153
147,84.69232,15.307673
148,13.327444,86.672554
149,91.15322,8.846776
150,11.834019,88.16598
151,22.639496,77.360504
152,18.934692,81.0653
153,23.398544,76.601456
154,87.82898,12.171021
155,91.08749,8.912511
156,8.7067585,91.29324
157,91.26868,8.731324
158,45.637688,54.36231
159,8.764043,91.23596
