,y,?,n
0,85.87066,6.8280993,7.3012457
1,9.83065,80.02239,10.146961
2,8.5121,8.887443,82.60045
3,9.158496,9.649203,81.1923
4,7.266536,7.7655735,84.96789
5,79.925934,10.530497,9.543566
6,85.773796,6.880114,7.3460946
7,85.74283,6.805177,7.451997
8,7.214685,7.861176,84.92414
9,85.904366,6.7717032,7.3239317
10,85.22009,7.1355066,7.644403
11,9.176247,10.566213,80.25754
12,7.3348536,7.6922894,84.972855
13,85.33646,7.115428,7.548116
14,84.22086,7.6455193,8.133624
15,7.806963,8.194734,83.9983
16,7.2229733,7.6803246,85.0967
17,85.3818,7.333166,7.2850347
18,7.4296527,7.9689226,84.601425
19,7.3139386,7.7269726,84.95909
20,7.239705,7.721147,85.03915
21,7.20164,7.6931367,85.105225
22,7.386401,7.821849,84.79175
23,7.310707,7.8549953,84.8343
24,7.8570805,8.288172,83.854744
25,8.269179,8.845447,82.885376
26,10.2348585,10.737446,79.027695
27,85.626564,6.8591394,7.5143023
28,7.4516335,7.896366,84.652
29,85.22478,7.1792307,7.595996
30,7.464443,7.8025537,84.733
31,7.7469254,8.353878,83.8992
32,85.9041,6.78708,7.308826
33,7.4851146,7.7927036,84.72218
34,85.44235,7.0568204,7.500825
35,85.37905,6.8707595,7.750184
36,85.81413,6.785588,7.400272
37,85.06504,7.1914935,7.743454
38,7.438531,8.091926,84.46954
39,7.1403913,7.648149,85.211464
40,7.498577,7.786886,84.71453
41,7.5979223,7.7859344,84.61614
42,7.3677115,7.718897,84.91339
43,7.442174,7.8674974,84.69032
44,8.272087,9.240001,82.48791
45,7.6683865,8.189675,84.14194
46,9.943068,11.36591,78.69102
47,7.3732934,7.7525196,84.87419
48,85.76858,6.7901297,7.4412932
49,7.2133822,7.8209414,84.965675
50,85.90427,6.8229156,7.2728148
51,7.407363,7.6868324,84.90581
52,85.91749,6.795241,7.28726
53,7.1569605,7.6870055,85.15603
54,81.312386,10.001878,8.685737
55,85.69547,6.9395757,7.364955
56,85.84959,6.789721,7.3607035
57,81.08023,10.019212,8.900558
58,85.315384,7.0418015,7.6428123
59,8.065516,8.555429,83.37905
60,85.37301,7.3016586,7.325338
61,12.659377,11.905907,75.43472
62,8.208271,8.735206,83.056526
63,7.2633595,7.6948905,85.04175
64,84.81414,7.159026,8.026838
65,85.795395,6.916514,7.288084
66,85.73541,6.9007106,7.36387
67,7.5500994,7.934066,84.51583
68,8.387683,8.936434,82.67588
69,7.242027,7.650562,85.10741
70,85.368416,6.925751,7.7058287
71,7.5795097,7.7840767,84.636406
72,85.90953,6.8125405,7.2779326
73,7.2563014,7.6545753,85.08913
74,84.48693,7.0991607,8.413907
75,7.199482,7.70667,85.09385
76,85.884186,6.7730875,7.3427134
77,7.3033204,7.8626213,84.83406
78,85.32108,7.13408,7.5448327
