,n,y,?
0,84.09193,7.1352234,8.772846
1,83.782196,7.0701637,9.147646
2,83.97575,7.185903,8.838347
3,83.114334,6.914273,9.9713955
4,83.98408,7.0358434,8.980085
5,80.46003,7.782402,11.757569
6,83.86919,7.226508,8.904302
7,84.05025,7.177284,8.7724695
8,82.666435,7.435997,9.8975725
9,82.556984,8.137541,9.305482
10,83.7219,7.1596317,9.118472
11,83.21615,6.978818,9.805031
12,7.1258187,82.46958,10.4046
13,84.09583,6.9874635,8.916701
14,7.8396373,82.16155,9.99881
15,7.1377525,82.77527,10.086976
16,84.00781,7.089329,8.902869
17,80.9275,8.393691,10.678815
18,76.67623,10.301768,13.021996
19,83.04581,7.1050243,9.84917
20,83.749344,7.1441402,9.106512
21,83.98132,6.985594,9.03308
22,83.00363,7.776059,9.220312
23,81.70097,7.2490454,11.049981
24,8.692442,79.269775,12.037781
25,83.0487,7.774523,9.176781
26,82.43475,7.956754,9.608493
27,83.79179,7.3155828,8.892629
28,83.63285,7.549816,8.817334
29,83.87355,7.250979,8.87547
30,84.09188,7.079975,8.828138
31,7.671801,81.768425,10.559776
32,83.82449,7.319167,8.856345
33,82.64162,8.301054,9.057329
34,83.93916,6.994682,9.0661545
35,7.5984554,83.18988,9.211667
36,84.05646,7.0055456,8.938002
37,7.3569603,82.08942,10.553619
38,6.9521523,83.59083,9.457021
39,84.018074,7.179673,8.802251
40,82.822365,7.198326,9.979306
41,83.9566,7.276744,8.76665
42,82.13581,7.5328836,10.331313
43,83.869576,7.278632,8.851792
44,83.80779,7.4497647,8.742439
45,83.286194,7.479486,9.234318
46,83.61992,7.3474774,9.032609
47,82.880775,7.9819546,9.137275
48,82.241516,7.969528,9.788962
49,79.20828,8.593201,12.198511
50,83.96297,7.201844,8.835198
51,83.860565,7.040469,9.098968
52,7.4665165,83.15452,9.378958
53,84.03734,7.174525,8.788129
54,7.1140103,82.135124,10.750863
55,8.220713,78.840485,12.9388075
56,7.185699,83.50578,9.308515
57,8.682144,80.06659,11.251267
58,6.943688,83.42545,9.630865
59,8.183282,81.759796,10.05692
60,84.17666,7.043016,8.780329
61,82.25618,8.030462,9.713358
62,83.39358,7.5568924,9.0495205
63,84.02827,6.982913,8.988809
64,83.74826,7.2509327,9.000803
65,84.04713,7.1138597,8.839014
66,7.0052557,82.97695,10.017788
67,83.47725,7.540947,8.981797
68,83.709755,6.9813185,9.308922
69,83.084274,7.934552,8.981177
70,7.040379,82.572876,10.38674
71,82.06579,7.814037,10.120177
72,7.42896,83.384705,9.186335
73,6.937922,83.45965,9.602418
74,6.955242,83.42011,9.62465
75,7.5951867,82.47874,9.926079
76,7.190455,83.48918,9.320368
77,6.9845996,82.998634,10.016766
78,7.491394,83.27344,9.23516
79,7.9225755,82.73334,9.344086
80,7.438225,82.90502,9.656758
81,7.9734964,81.629875,10.396632
82,75.76743,9.873566,14.358999
83,7.330492,82.2702,10.399303
84,7.30221,83.394325,9.303465
85,7.590478,81.97857,10.430949
86,84.005424,7.117454,8.877129
87,7.0855165,83.495605,9.418882
88,6.988427,83.555466,9.456108
89,7.054263,83.53695,9.408787
90,7.3853145,82.78269,9.831992
91,8.060126,81.92293,10.016946
92,7.1251235,83.49649,9.378388
93,83.95502,7.278195,8.766789
94,82.646194,7.761383,9.5924225
95,83.215164,7.1240654,9.660765
96,8.819948,80.54916,10.630896
97,7.2592964,82.155,10.585706
98,6.962842,82.566086,10.471076
99,83.98731,7.248016,8.764678
100,83.16426,7.669017,9.1667185
101,83.568214,7.3324823,9.099293
102,84.12869,7.0745564,8.796747
103,7.4456916,83.32097,9.233332
104,84.09133,7.1199565,8.788716
105,74.29595,12.395016,13.309039
106,8.614562,9.206025,82.17941
