,n,y,?
0,42.589737,23.477707,33.93256
1,42.62637,23.81682,33.556812
2,39.143158,25.870031,34.986813
3,37.432396,34.360332,28.207264
4,40.11982,26.332653,33.547523
5,32.647915,37.5826,29.76949
6,46.14245,21.005028,32.85252
7,37.815987,22.381924,39.802086
8,34.154964,30.09555,35.749485
9,42.814796,29.637194,27.548016
10,38.79779,30.447102,30.755106
11,40.67586,23.017172,36.306973
12,30.488953,36.283173,33.227875
13,42.867275,26.043003,31.089718
14,25.690105,42.44808,31.86182
15,33.0435,35.762493,31.194008
16,34.706543,26.470509,38.822945
17,33.92037,35.25036,30.829275
18,39.098087,28.839926,32.06199
19,40.207558,30.929848,28.862593
20,36.26873,25.63353,38.097744
21,35.951756,33.6049,30.443346
22,48.05327,19.322124,32.624603
23,41.241344,27.918154,30.840508
24,23.99857,41.15757,34.843864
25,36.791534,28.42276,34.78571
26,42.17336,24.620272,33.20637
27,37.065933,26.651937,36.28213
28,40.14756,26.118967,33.73347
29,36.413635,34.044044,29.542328
30,54.559135,17.75856,27.682299
31,32.109516,37.990208,29.90028
32,40.524525,20.685625,38.789852
33,39.737503,25.808739,34.453754
34,35.370956,31.480078,33.148964
35,44.025227,38.041843,17.932928
36,32.201252,37.399784,30.398968
37,34.558285,35.923664,29.518053
38,32.840168,34.49893,32.6609
39,33.700516,32.06976,34.22972
40,38.86056,25.01618,36.12326
41,38.383785,29.624409,31.99181
42,49.969246,18.687824,31.34293
43,39.115105,25.571337,35.31356
44,34.636208,32.317715,33.046078
45,37.15144,24.777102,38.07146
46,34.006958,31.834415,34.15862
47,36.55099,34.14245,29.306555
48,37.024162,27.036676,35.939167
49,35.743557,28.37092,35.88552
50,40.48656,24.623554,34.889885
51,35.24632,34.041855,30.71182
52,33.384357,34.6316,31.984034
53,35.564667,31.661669,32.773663
54,26.93787,38.64624,34.415886
55,32.890434,39.154575,27.954996
56,24.665586,38.368187,36.96622
57,33.627407,37.237183,29.135412
58,37.77935,35.259575,26.961073
59,35.12296,33.48719,31.389845
60,39.030945,22.359266,38.60979
61,40.8089,29.564386,29.626713
62,34.265404,35.809185,29.925406
63,35.11654,32.662792,32.22067
64,37.155975,24.318665,38.525364
65,35.7089,30.315554,33.97555
66,26.510283,40.28394,33.205776
67,34.119736,23.76499,42.115273
68,35.894302,32.07651,32.029186
69,44.293026,26.094458,29.61252
70,32.467182,38.762726,28.770088
71,41.840984,29.63072,28.5283
72,29.976917,36.88313,33.139957
73,27.0809,39.19041,33.728687
74,30.73091,38.23899,31.030098
