,y,n,?
0,36.052494,31.863018,32.084488
1,32.434887,34.51019,33.054928
2,34.513374,27.47397,38.012657
3,31.826517,34.80627,33.36721
4,34.331223,36.15764,29.511139
5,28.240654,35.148552,36.610786
6,35.18443,30.516682,34.29889
7,35.381134,30.0192,34.59967
8,32.101402,37.356804,30.541792
9,32.3777,34.15751,33.464794
10,33.97091,31.802536,34.226547
11,34.280834,29.355013,36.36416
12,31.808382,33.197304,34.99431
13,36.760815,30.783775,32.45541
14,36.426907,34.420578,29.15251
15,37.399204,29.74633,32.85447
16,33.7073,38.38658,27.90612
17,33.13173,31.004211,35.86406
18,33.743927,31.705776,34.550293
19,29.591417,36.25528,34.153305
20,34.569897,36.215115,29.21499
21,38.89904,24.410273,36.690685
22,34.92169,31.048744,34.02956
23,25.267887,39.34428,35.38783
24,34.717834,30.935768,34.3464
25,34.445244,29.467552,36.087208
26,32.90373,34.40714,32.689133
27,36.365025,29.573193,34.061783
28,30.44636,34.373005,35.18063
29,30.574348,32.83689,36.58876
30,30.500015,35.803932,33.696053
31,33.393497,34.228687,32.377823
32,33.651123,34.658096,31.690783
33,32.363632,36.160454,31.475916
34,35.266964,32.75925,31.973782
35,34.75446,36.859955,28.385582
36,32.79658,32.9824,34.221024
37,31.253412,35.487423,33.25916
38,35.709293,30.247196,34.043514
39,35.802948,30.646961,33.55009
40,33.684002,32.03422,34.281773
41,26.710493,39.52692,33.76259
42,32.79438,31.530497,35.675117
43,33.561478,31.71292,34.725605
44,35.12194,30.850807,34.027256
45,36.55399,32.27071,31.1753
46,35.1742,30.518393,34.307415
47,32.033955,34.417847,33.548203
48,35.741436,29.316822,34.94174
49,31.589634,34.54153,33.868835
50,36.201088,31.692818,32.10609
51,33.044796,32.978836,33.976368
52,36.859386,30.467438,32.673176
53,33.32469,33.019955,33.655354
54,36.05301,29.896233,34.050762
55,34.31889,31.579035,34.102074
56,38.513855,27.72523,33.760918
57,37.58953,28.97064,33.43982
58,35.426495,32.39166,32.181847
59,32.38984,36.603226,31.006931
60,36.120365,32.67043,31.20921
61,28.210598,35.927357,35.86205
62,31.95333,36.459003,31.587666
63,32.845154,33.08587,34.068974
64,34.556164,32.138462,33.305374
65,33.96853,34.565784,31.465689
66,34.329445,33.883755,31.786802
67,31.199923,36.96151,31.838566
68,30.78253,34.156853,35.060623
69,29.932953,35.22502,34.842022
70,33.42774,33.27226,33.300007
71,31.343407,32.062565,36.59403
72,30.136341,35.27574,34.587917
73,32.84658,36.938087,30.215332
74,31.246683,34.160717,34.592594
75,48.036003,18.073801,33.890198
76,34.47591,32.704113,32.81998
77,31.736052,33.97326,34.290688
78,33.380424,33.988758,32.630817
79,34.918518,37.565678,27.515797
80,31.941906,34.31562,33.742474
81,35.277782,28.296618,36.4256
82,33.847775,30.765066,35.38716
83,34.267296,33.308487,32.424217
84,33.835865,32.32291,33.841225
85,36.789165,30.582985,32.627842
86,32.924618,33.51203,33.56335
87,33.56343,34.95091,31.485659
88,32.82849,30.074232,37.097275
89,36.016727,32.77839,31.204882
90,38.034172,37.468628,24.4972
91,28.636017,35.22788,36.13611
92,31.17657,34.868988,33.954437
93,35.565136,30.226528,34.208336
94,36.795944,31.138643,32.06541
95,34.60845,32.415474,32.976074
96,27.904886,37.882442,34.21267
97,34.796364,32.722626,32.481007
98,32.039814,34.236343,33.723843
99,35.241947,31.369087,33.388966
100,30.61972,35.44147,33.938805
101,26.407967,39.328537,34.263496
102,30.621061,36.805397,32.57354
103,38.0825,30.635426,31.282066
104,28.936544,33.270733,37.79272
105,35.89775,32.69692,31.405336
106,36.490288,33.730667,29.779049
107,37.899815,30.41262,31.687563
108,27.087063,39.60344,33.309494
109,39.89344,35.522934,24.583628
110,33.13933,32.040005,34.820667
111,28.059605,36.48669,35.4537
112,35.860992,33.346878,30.792135
113,32.24744,35.3623,32.39026
114,26.462305,33.88733,39.650364
115,28.797758,40.08662,31.115627
116,29.871124,35.581608,34.547268
117,37.097023,30.01816,32.884815
118,35.609703,27.378654,37.011642
119,35.65274,36.475956,27.871302
120,36.595516,26.84022,36.564266
121,32.05967,34.652077,33.288254
122,43.76141,22.569881,33.668705
123,34.426395,29.802382,35.77123
124,49.22382,14.170015,36.606163
125,34.46058,31.191525,34.3479
126,36.526043,28.6105,34.863453
127,33.248234,32.653664,34.098106
128,30.389568,33.655533,35.954895
129,31.31985,37.39795,31.282196
130,32.91311,34.37418,32.71271
131,30.518108,33.164185,36.317707
132,35.69917,29.684717,34.61612
133,34.68946,33.506203,31.804335
134,31.661234,34.03305,34.30571
135,37.460125,29.41379,33.126087
136,36.206875,34.230076,29.563051
137,35.492622,29.602015,34.905365
138,36.351833,31.862926,31.785244
139,31.040462,32.476135,36.483402
140,32.947132,34.41135,32.641514
141,32.546593,34.766422,32.68699
142,31.375223,34.915096,33.70968
143,27.85683,35.60016,36.543003
144,25.397821,37.29928,37.302906
145,35.777157,29.318996,34.903847
146,34.499733,32.62391,32.876366
147,35.29339,31.884718,32.821896
148,33.87078,29.930614,36.19861
149,29.90186,36.493988,33.604156
150,33.516823,31.517632,34.965553
151,36.079006,35.355778,28.56522
152,35.625084,32.415993,31.958923
153,35.3034,31.951315,32.745285
154,35.19243,33.367233,31.440344
155,35.863445,32.737644,31.398912
156,34.997498,33.74305,31.25945
157,32.507946,32.2371,35.25495
158,34.987843,34.00352,31.008635
159,32.533615,33.712406,33.753986
160,42.933186,21.988953,35.077858
161,36.60704,29.637564,33.755394
162,40.026936,20.586903,39.386166
163,32.51585,31.918785,35.56537
164,27.456194,37.20462,35.33919
165,30.810568,32.674362,36.515064
166,37.803146,29.401123,32.79573
167,29.35852,39.14008,31.501394
168,29.997263,37.082203,32.920532
169,32.187782,35.107563,32.70466
170,34.994698,28.00311,37.002193
171,35.0463,33.20879,31.744905
172,35.039726,31.885921,33.074352
173,33.59741,35.098328,31.304268
174,31.193575,35.213623,33.592804
175,33.03426,30.519974,36.445766
176,33.467552,34.95953,31.57292
177,30.710062,34.290524,34.99941
178,32.465137,33.788307,33.746555
179,31.2844,33.794914,34.920685
180,30.009443,34.411655,35.5789
181,32.125114,37.05451,30.820375
182,29.99834,33.379166,36.622486
183,28.311522,36.910458,34.778023
184,32.42328,35.314014,32.26271
185,32.661194,33.560574,33.778236
186,34.310116,32.39962,33.290264
187,34.368824,32.13169,33.499485
188,32.580368,36.86186,30.557772
189,35.14954,34.82092,30.029535
190,33.804367,29.548416,36.647217
191,36.32959,31.257912,32.412495
192,29.78881,36.100925,34.11026
193,34.295902,33.34696,32.357143
194,33.885445,33.52841,32.586143
195,36.897743,26.668661,36.433594
196,36.158527,32.41504,31.42644
197,28.066433,38.117176,33.81639
198,30.393236,34.719433,34.88733
199,31.923601,35.95592,32.12048
200,32.56634,34.10323,33.33043
201,34.55148,33.252716,32.195805
202,38.296265,31.612965,30.090773
203,36.648552,35.346645,28.004805
204,31.546806,31.67769,36.775505
205,32.1931,34.59257,33.214325
206,37.718224,34.741592,27.54018
207,35.507496,29.923185,34.569313
208,32.289932,34.14141,33.568653
209,30.278353,35.29991,34.421738
210,32.325615,33.29823,34.376152
211,37.00937,36.50793,26.482704
212,35.29265,34.38277,30.324585
213,33.857845,32.055237,34.086914
214,34.2092,35.029896,30.760904
215,31.576756,32.772923,35.650322
216,34.432884,31.500122,34.06699
217,33.41072,31.782547,34.806732
218,27.88726,36.8242,35.288536
219,35.74236,31.661997,32.59565
220,33.303566,34.98575,31.710684
221,32.349365,31.58644,36.064194
222,34.382595,33.417927,32.199486
223,33.957638,32.064636,33.977722
224,32.028095,35.355328,32.61658
225,35.983994,33.539295,30.476707
226,35.15401,29.887253,34.958733
227,33.736877,34.25911,32.00401
228,35.37507,32.14752,32.477413
229,34.045616,32.480682,33.473698
230,34.250298,32.17546,33.57424
231,35.095196,31.989723,32.915077
232,36.3926,34.56219,29.045206
233,32.430225,30.849916,36.719856
234,35.307632,38.74831,25.944057
235,30.703016,33.782124,35.51485
236,31.269487,35.687782,33.04273
237,32.388016,30.596825,37.01516
238,36.504467,32.075325,31.420214
239,36.184696,33.51846,30.29685
240,29.823097,34.190907,35.985992
241,36.885986,26.66601,36.448
242,33.867676,32.54267,33.58965
243,31.089518,33.54963,35.36086
244,30.928034,34.05564,35.016327
245,35.133045,35.08879,29.778162
246,36.801956,31.764265,31.433777
247,26.70067,33.894886,39.40445
248,30.127222,35.28368,34.589096
249,33.245,34.01725,32.73775
250,37.829792,31.808168,30.362045
251,31.501888,33.714035,34.784073
252,27.58351,48.136353,24.280138
253,29.291069,39.58203,31.126898
254,36.761467,32.413216,30.825323
255,34.818153,32.99393,32.18792
256,33.770134,35.141827,31.08804
257,20.204786,38.711758,41.083458
258,33.834,31.627937,34.538063
259,35.761703,32.259266,31.979027
260,32.191025,33.895096,33.91388
261,30.457031,33.34027,36.2027
262,28.55518,38.334,33.11082
263,28.133398,38.24255,33.624054
264,30.422756,37.199825,32.377415
265,37.490837,33.42879,29.080376
266,31.081625,39.4933,29.425076
267,37.073032,34.88567,28.041294
268,34.51149,35.35815,30.13036
269,37.72505,32.29066,29.984293
270,35.018566,35.119762,29.861673
271,33.74196,32.471783,33.786263
272,34.535023,33.927795,31.53719
273,33.85493,31.774803,34.370266
274,33.68582,32.367542,33.94664
275,35.12661,35.069286,29.804104
276,30.901709,34.953587,34.144703
277,35.24743,32.657455,32.095116
278,35.21041,31.256756,33.532833
279,32.57672,32.043648,35.379635
280,33.267597,33.41925,33.313152
281,32.626595,33.86656,33.506847
282,32.071625,34.314926,33.61345
283,33.193474,32.466187,34.340343
284,34.947388,30.456337,34.59628
285,34.798546,37.531536,27.669912
286,34.66424,33.854195,31.481567
287,35.16114,31.361258,33.4776
288,32.61251,34.388092,32.999393
289,29.722605,39.239727,31.037674
290,31.97707,34.993515,33.02942
291,34.28141,30.934502,34.784092
292,32.533157,33.16392,34.302917
293,31.949171,35.449306,32.60152
294,31.037983,38.976772,29.985247
295,32.06835,31.31644,36.615204
296,35.7651,32.802948,31.431957
297,34.992012,34.08039,30.927605
298,38.222458,34.494133,27.283405
299,34.742702,31.569109,33.688187
300,35.365963,32.81549,31.818542
301,31.90481,40.77066,27.324537
302,35.67466,32.81922,31.50612
303,34.41979,33.547127,32.033085
304,33.09699,33.86092,33.042088
305,33.059036,34.490807,32.45015
306,34.338272,37.28206,28.379675
307,35.314896,33.39363,31.291473
308,35.843224,35.16337,28.9934
309,33.06323,32.605816,34.33096
310,33.781223,35.69309,30.52569
311,29.530113,32.28063,38.189266
312,35.586216,34.287167,30.12661
313,38.00665,34.179745,27.813602
314,32.502655,33.420288,34.07706
315,37.415203,33.004547,29.58025
316,30.94334,35.64473,33.411926
317,30.077097,31.859398,38.063503
318,28.677961,35.389854,35.932182
319,26.56446,40.128204,33.307335
320,34.499302,32.92682,32.57388
321,30.982372,36.690983,32.326645
322,32.885418,31.680662,35.433918
323,32.915894,34.871788,32.21232
324,36.771046,33.29453,29.934423
325,32.472885,32.019913,35.507206
326,33.495724,33.796673,32.707603
327,28.940472,35.67887,35.380657
328,31.240923,40.82326,27.935814
329,25.04468,39.890026,35.06529
330,30.98734,35.52,33.492657
331,31.67218,33.313755,35.01407
332,29.88418,32.797806,37.318016
333,38.309864,31.229267,30.460876
334,32.628784,32.321545,35.04967
335,33.311474,31.041658,35.646866
336,30.444864,34.565228,34.98991
337,34.712677,30.22009,35.06723
338,34.799114,32.10985,33.091034
339,31.982952,31.18949,36.827564
340,31.284061,38.91671,29.799229
341,35.57724,31.808727,32.61403
