,y,?,n
0,34.33944,33.960487,31.700077
1,35.08544,33.739063,31.1755
2,34.944084,31.905552,33.15036
3,33.52809,33.415787,33.056118
4,33.17398,38.593937,28.232082
5,31.012402,34.646454,34.34115
6,38.690647,30.378262,30.931097
7,34.465347,31.967249,33.567406
8,31.084421,31.2886,37.626984
9,38.92981,33.698288,27.371899
10,36.963,32.627373,30.409626
11,35.282173,30.261883,34.455944
12,34.315254,31.268084,34.416664
13,31.020638,33.284252,35.69511
14,34.519913,29.98014,35.499947
15,34.18962,31.582052,34.228333
16,34.286842,31.10512,34.608032
17,31.696623,35.35569,32.947685
18,32.702824,33.94308,33.354095
19,26.283,36.17374,37.54325
20,34.307476,33.6021,32.09042
21,43.450485,19.579496,36.97002
22,35.09439,31.873447,33.032166
23,31.74599,34.914036,33.33997
24,32.46464,33.658096,33.877266
25,33.104156,29.543785,37.35206
26,35.523262,34.672947,29.803795
27,35.21642,28.628147,36.15543
28,32.962246,31.951874,35.085876
29,32.834743,28.958574,38.20668
30,34.67438,32.511017,32.8146
31,36.205544,34.892155,28.902302
32,31.176466,31.108606,37.714928
33,36.05105,30.834377,33.11458
34,34.427364,34.534134,31.038506
35,33.742413,35.971172,30.286411
36,31.420034,34.281967,34.297997
37,33.871986,31.427223,34.700787
38,39.750816,31.217007,29.032173
39,33.876846,31.249376,34.873775
40,34.252956,32.31769,33.429356
41,29.40562,38.171867,32.422516
42,31.732882,32.729736,35.537384
43,35.191433,28.205755,36.602818
44,24.94525,31.664845,43.389908
45,24.066454,33.866425,42.067127
46,35.36857,34.10481,30.526627
47,33.84816,31.72938,34.42246
48,33.73209,34.10552,32.162395
49,34.11043,34.079945,31.80962
50,39.114704,24.588451,36.296844
51,29.829826,33.506237,36.663937
52,31.606289,34.821358,33.572353
53,35.456276,35.068832,29.474894
54,40.449696,28.252462,31.297838
55,32.461246,34.408665,33.130085
56,34.090866,35.604916,30.30421
57,31.002691,34.46162,34.535686
58,35.056297,30.691332,34.25237
59,33.577312,33.049473,33.373222
60,34.08909,32.624287,33.28662
61,33.27832,34.395744,32.325935
62,38.606308,22.831173,38.562523
63,33.13528,34.188618,32.676105
64,29.089828,36.673088,34.23708
65,33.852562,32.91594,33.2315
66,32.652096,34.79597,32.55193
67,34.948036,34.936474,30.115494
68,30.215445,34.615047,35.169514
69,34.924255,31.495337,33.580406
70,28.954823,36.778423,34.266754
71,30.922672,36.78938,32.287952
72,36.026928,30.34955,33.623524
73,33.92143,30.453365,35.625206
74,31.62499,35.334965,33.04004
75,38.329212,27.456951,34.21383
76,37.102814,29.743221,33.15396
77,30.112347,32.301487,37.58616
78,35.207615,30.41294,34.379444
79,32.60891,34.436005,32.955093
80,34.1842,30.81922,34.996582
81,43.431442,26.658213,29.910347
82,34.583435,37.44941,27.96715
83,32.738132,32.668728,34.59314
84,36.048214,32.537292,31.414497
85,32.832047,32.47,34.697956
86,33.190773,32.86441,33.944813
87,34.456184,35.359245,30.184572
88,33.1307,33.296047,33.573257
89,30.901,32.92279,36.1762
90,36.84388,28.956274,34.19985
91,30.273676,32.05179,37.67453
92,34.92645,32.711494,32.36206
93,30.773045,31.536917,37.69004
94,32.16029,32.72267,35.117035
95,32.66031,33.430557,33.90913
96,33.800785,34.542118,31.6571
97,36.543537,28.210703,35.245758
98,30.74387,33.785244,35.470882
99,32.190956,34.798557,33.010487
100,34.368195,32.54408,33.087723
101,34.29188,32.78949,32.91863
102,33.312496,34.023933,32.663563
103,31.997227,33.889885,34.112885
104,32.79579,33.687298,33.51691
105,31.000832,35.00849,33.990677
106,30.51327,35.48685,33.99988
107,33.856888,33.566402,32.576706
108,35.467255,41.824894,22.707853
109,30.4463,35.68644,33.86726
110,33.683132,34.11299,32.203873
111,29.048664,34.233944,36.7174
112,33.45243,34.156418,32.391148
113,29.140081,35.684113,35.175808
114,33.192764,34.310795,32.496445
115,35.436256,31.13264,33.4311
116,39.41155,29.980919,30.60753
117,24.352543,34.0122,41.63526
118,39.343674,20.888649,39.767677
119,32.276516,34.222794,33.50069
120,34.22156,29.817507,35.960934
121,30.636192,37.94003,31.42378
122,35.370647,33.366306,31.263044
123,31.736618,33.88087,34.382507
124,42.700504,25.711977,31.587515
125,33.8985,31.91759,34.18391
126,29.315147,32.76073,37.92412
127,32.18872,34.66697,33.14431
128,33.290688,34.01256,32.696743
129,32.44323,35.640984,31.915781
130,34.717693,34.12344,31.158861
131,34.69912,33.31228,31.98861
132,37.312653,25.492176,37.19517
133,35.75834,31.364298,32.87737
134,33.434975,32.050957,34.514065
135,33.410797,33.403965,33.185238
136,33.76772,31.488678,34.743603
137,35.96298,31.307756,32.72927
138,28.687206,33.758503,37.554287
139,34.3092,34.50946,31.181341
140,32.043602,34.119316,33.837082
141,33.662952,36.723198,29.613846
142,32.342068,35.453724,32.204212
143,35.89768,33.338673,30.763647
144,30.32386,34.57048,35.10566
145,40.676796,19.824528,39.498676
146,35.76119,33.203693,31.035116
147,36.740116,34.739624,28.520262
148,36.922188,31.53928,31.53853
149,31.91649,33.85237,34.23114
150,31.51518,33.578716,34.9061
151,30.070305,31.274483,38.655212
152,32.897167,33.28275,33.820076
153,32.906197,33.51494,33.578865
154,32.715206,30.045086,37.23971
155,37.055996,31.170998,31.773006
156,35.70729,34.38129,29.911417
157,32.676933,35.54074,31.782326
158,43.83538,21.249985,34.914635
159,30.738935,20.094555,49.16651
160,35.574947,33.127995,31.297052
161,34.490475,31.978941,33.53059
162,35.004158,35.063812,29.932028
163,34.80468,35.705894,29.489428
164,35.0076,35.93359,29.058811
165,32.550343,31.601498,35.84816
166,29.335028,36.73797,33.927002
167,32.54785,30.706089,36.74606
168,30.196445,33.862106,35.94145
169,29.327797,37.823547,32.84865
170,33.150406,32.311733,34.537853
171,30.154587,33.595802,36.249615
172,37.72912,35.35673,26.914152
173,33.17856,33.14234,33.679104
174,32.630898,34.44769,32.921413
175,28.1839,35.57368,36.24242
176,26.600637,35.64564,37.753723
177,37.842476,28.43122,33.726307
178,33.225586,30.91474,35.859676
179,34.2284,34.946175,30.825428
180,33.402042,32.539936,34.05802
181,30.517847,35.116997,34.365158
182,34.194313,32.912453,32.893234
183,38.33093,32.726864,28.942207
184,33.606705,33.67287,32.72042
185,32.729946,32.507423,34.762634
186,34.645824,32.369724,32.984455
187,31.566668,34.186863,34.24647
188,31.466972,31.722359,36.810665
189,36.33794,34.318832,29.343224
190,35.052517,33.313908,31.633572
191,33.801594,32.01861,34.179802
192,34.069363,34.389553,31.541088
193,32.251663,34.695744,33.05259
194,31.88824,33.526215,34.58554
195,33.24698,31.79349,34.959538
196,33.254013,33.98929,32.756702
197,27.410963,35.386593,37.20244
198,34.405415,33.756004,31.838585
199,34.66762,33.770687,31.561697
200,32.732887,33.640404,33.62671
201,33.036266,33.50923,33.454506
202,34.56251,36.402466,29.035017
203,34.138645,32.601757,33.259598
204,32.651375,34.474377,32.87425
205,35.0274,32.41516,32.557434
206,32.793896,33.63721,33.568893
207,34.36344,30.850014,34.786545
208,35.82496,28.239119,35.93593
209,37.206783,33.00162,29.7916
210,35.118057,32.39719,32.484756
211,29.84823,32.15067,38.001095
212,35.86184,31.463465,32.6747
213,35.17695,33.864323,30.958733
214,29.443336,35.811977,34.74469
215,35.968704,31.453625,32.577667
216,39.54238,37.368324,23.089293
217,32.935562,32.97717,34.087265
218,32.624844,32.66519,34.709972
219,36.344406,33.441826,30.21377
220,36.24313,31.990751,31.766119
221,31.842476,32.676495,35.481037
222,33.77404,31.949749,34.276207
223,33.955486,32.09768,33.946835
224,37.04641,19.619646,43.333946
225,32.450882,36.908806,30.640306
226,34.33303,29.997135,35.669838
227,35.78065,33.273163,30.946182
228,37.27686,35.07101,27.652132
229,37.199883,34.08541,28.714708
230,33.950706,32.8282,33.221092
231,34.1682,32.521156,33.310646
232,32.969345,33.116444,33.914207
233,32.878246,31.382486,35.739265
234,31.17512,34.42714,34.39774
235,34.748314,33.01849,32.233192
236,37.93547,37.570553,24.493977
237,31.52692,35.48142,32.991665
238,31.332573,35.307423,33.360004
239,33.394726,34.31077,32.2945
240,31.808481,33.932064,34.259457
241,33.17,33.157364,33.672634
242,36.453983,36.43994,27.106077
243,28.379118,25.584295,46.036583
244,33.713135,32.946095,33.340767
245,33.06524,34.41246,32.522305
246,35.165127,34.447212,30.387665
247,35.427956,30.389917,34.182133
248,32.446434,31.784042,35.769524
249,32.614304,35.43084,31.954855
250,35.904335,35.70515,28.390509
251,33.437443,31.020561,35.542
252,31.815962,32.87815,35.305893
253,34.747963,31.473833,33.7782
254,36.994015,35.084507,27.92148
255,35.37082,31.782154,32.847027
256,34.513153,31.919617,33.567234
257,32.863514,32.294567,34.841923
258,32.475098,34.993416,32.531487
259,37.204803,30.613985,32.181213
