,y,n,?
0,82.74984,8.545593,8.704579
1,78.18529,10.942461,10.872257
2,9.581431,84.015335,6.4032345
3,71.215675,13.505825,15.278494
4,81.8001,9.052517,9.14738
5,82.73932,8.546368,8.71431
6,82.62698,8.621204,8.751816
7,80.58799,9.683426,9.728585
8,10.54454,83.294525,6.160938
9,82.52341,8.675973,8.80062
10,82.75077,8.548984,8.700243
11,8.962583,84.07763,6.959785
12,10.319326,82.79366,6.8870077
13,15.603314,13.672813,70.72388
14,9.601365,6.673491,83.72514
15,10.350863,83.323715,6.3254223
16,12.381515,77.47934,10.13915
17,81.666985,9.121698,9.211312
18,9.641985,83.80603,6.5519876
19,8.820241,84.54058,6.6391773
20,9.621639,7.3404007,83.037964
21,8.99467,84.62718,6.3781543
22,9.453597,83.5725,6.9739065
23,9.998385,83.81755,6.1840653
24,9.199474,84.62713,6.173401
25,9.568037,82.84753,7.584445
26,10.824201,82.37882,6.7969775
27,82.738304,8.558746,8.7029505
28,16.287386,76.25723,7.455382
29,82.683495,8.560554,8.755955
30,8.999294,84.70395,6.2967606
31,8.854797,84.190506,6.954696
32,82.40157,8.646864,8.951557
33,9.657286,83.64774,6.694974
34,82.595375,8.586843,8.817778
35,80.156204,9.908819,9.934985
36,79.13236,10.539319,10.328313
37,79.94562,10.018874,10.035506
38,11.02009,81.260704,7.7192054
39,10.161391,82.77156,7.0670576
40,9.020073,84.46868,6.511245
41,17.553951,15.212813,67.23324
42,10.491662,83.16054,6.3478007
43,8.718921,84.63425,6.6468263
44,9.557595,84.28961,6.1527934
45,12.675251,76.1909,11.133841
46,12.4602375,78.31644,9.223327
47,82.37126,8.656304,8.972423
48,82.72815,8.54867,8.723186
49,9.763659,83.84571,6.390632
50,82.73932,8.546368,8.71431
51,8.768555,84.63343,6.598013
52,82.34511,8.769156,8.885733
53,82.40462,8.64592,8.949469
54,74.219635,11.916932,13.863436
55,81.39612,9.262533,9.341347
56,82.747665,8.5520115,8.70032
57,82.53399,8.67041,8.795593
58,82.554535,8.659602,8.785862
59,8.885006,84.44014,6.674855
60,82.6814,8.591784,8.726828
61,12.052858,80.57969,7.3674464
62,9.619388,83.186165,7.194445
63,9.446214,83.16742,7.386368
64,82.72925,8.548419,8.722337
65,79.301476,10.6778,10.0207205
66,82.72678,8.565956,8.707263
67,9.75409,83.847084,6.3988266
68,9.853362,83.70155,6.4450755
69,9.822628,82.98007,7.1972976
70,78.323006,10.869968,10.807027
71,11.226649,81.764534,7.008811
72,82.11619,8.888256,8.995552
73,82.669395,8.564629,8.765982
74,82.68686,8.588767,8.724372
75,82.53399,8.67041,8.795593
76,82.61886,8.625539,8.755604
77,82.75165,8.547357,8.700987
78,79.70056,10.147063,10.152377
79,82.52832,8.607481,8.864204
80,80.933945,9.5030985,9.562952
81,80.85582,9.543807,9.600382
82,82.68626,8.559763,8.753976
83,81.9601,8.969375,9.0705185
