,?,n,y
0,33.4883,32.307568,34.204136
1,27.479053,37.03471,35.48624
2,31.124922,26.211723,42.663353
3,31.513517,26.39885,42.087635
4,33.17848,24.036642,42.784885
5,33.882347,28.057121,38.060535
6,30.71194,26.453632,42.834427
7,32.708023,31.30775,35.984222
8,35.846077,31.243082,32.910835
9,32.339653,39.61605,28.044289
10,34.785004,29.490286,35.724705
11,38.15246,32.87901,28.96853
12,47.533394,27.283691,25.182915
13,36.127354,33.57271,30.299938
14,55.037464,22.65658,22.305962
15,29.958323,35.581814,34.459866
16,33.15987,31.56721,35.27292
17,35.843414,37.866875,26.289713
18,34.04355,33.027954,32.9285
19,31.450304,26.568382,41.981308
20,29.583004,35.249775,35.167225
21,29.710773,29.245897,41.04333
22,33.984104,30.540913,35.474983
23,35.848896,34.473232,29.677872
24,31.796732,33.266594,34.936672
25,35.638638,21.17269,43.188675
26,37.277428,25.715607,37.006966
27,34.62596,31.833267,33.540775
28,32.62384,31.222206,36.15395
29,38.870354,37.98903,23.140625
30,36.437286,33.38476,30.177954
31,31.65043,28.507355,39.842213
32,33.185814,32.628746,34.185436
33,32.684788,31.735874,35.57934
34,36.502247,24.358187,39.139565
35,34.047108,28.027925,37.92497
36,31.761486,33.053303,35.185207
37,31.78998,39.109604,29.100414
38,34.00346,34.27529,31.721243
39,40.59704,30.857515,28.545454
40,36.375126,33.148735,30.476135
41,30.831522,32.86174,36.306736
42,37.586727,30.746782,31.666487
43,38.593285,28.716711,32.690002
44,36.21789,31.909668,31.87244
45,32.683735,32.170372,35.145893
46,34.68407,32.547546,32.768387
47,32.861263,31.464777,35.673958
48,28.077559,36.86248,35.059963
49,27.785921,37.359695,34.854385
50,31.706562,31.822353,36.47108
51,26.752684,37.583046,35.664265
52,27.619759,37.603863,34.776382
53,35.167625,33.760914,31.071463
54,29.88917,35.60742,34.50341
55,30.140263,33.02705,36.832684
56,32.969196,31.772545,35.25826
57,32.873604,26.453215,40.67318
58,43.690567,26.163303,30.146128
59,34.19175,33.30389,32.50436
60,31.893894,36.419647,31.686459
61,41.499252,41.77372,16.727022
62,32.46739,29.424974,38.107635
63,33.01,31.693932,35.296066
64,33.7211,28.929598,37.349297
65,39.715633,18.522633,41.761734
66,32.867874,33.974487,33.157646
67,31.9766,33.455276,34.56812
68,40.608997,17.27343,42.117577
69,35.33295,30.898035,33.769016
70,33.095215,32.61968,34.285107
71,39.64152,27.027431,33.331047
72,28.248362,36.51833,35.233315
73,34.62407,22.292147,43.083782
74,34.286736,37.10303,28.61024
75,35.920143,32.160957,31.918901
76,30.716974,23.781462,45.50156
77,34.488304,29.568417,35.943275
78,31.279234,36.668404,32.05236
79,42.098736,28.741941,29.159317
80,33.33163,29.36457,37.3038
81,34.907215,28.038788,37.053997
82,29.110497,36.39337,34.496128
83,45.861282,37.51051,16.62821
84,33.54192,32.34586,34.112217
85,29.735046,37.461166,32.803783
86,36.76796,39.1644,24.067644
87,33.86186,31.120508,35.01763
88,35.94219,32.14251,31.915298
89,31.380838,34.524902,34.094257
90,33.256783,30.895102,35.848118
91,31.378355,28.862068,39.759575
92,36.790882,18.436579,44.77254
93,34.735115,28.269915,36.99497
94,34.06038,28.581223,37.358402
95,31.465271,26.682869,41.851868
96,34.99677,27.354843,37.648384
97,32.469555,32.99034,34.540104
98,25.013098,39.82966,35.157238
99,31.526783,32.573856,35.899364
100,33.462723,33.259277,33.277996
101,35.358723,36.224155,28.417122
102,35.571663,34.467747,29.96059
103,39.072517,32.9548,27.972687
104,39.075436,23.087448,37.837112
105,33.717007,35.633713,30.649275
106,38.982597,35.14393,25.873476
107,40.50423,38.634975,20.860802
108,34.85848,33.976852,31.164663
109,33.678368,32.41851,33.903122
110,32.874386,32.227844,34.897774
111,40.414425,39.87917,19.706402
112,28.74049,44.280384,26.979134
113,35.516083,35.609867,28.874048
114,32.25171,32.77486,34.97343
115,31.154785,33.812775,35.032444
116,33.45817,23.779484,42.762352
117,30.26888,33.767895,35.96323
118,33.27025,34.82776,31.901995
119,33.907166,27.309013,38.783817
120,29.699131,26.484695,43.816166
121,29.851685,33.544277,36.60404
122,31.489023,32.595013,35.915962
123,33.549892,26.770834,39.679268
124,32.352142,32.97338,34.674477
125,28.959835,41.58612,29.45405
126,31.01027,32.34331,36.646416
127,33.240612,32.92658,33.83281
128,39.129005,26.264128,34.606857
129,42.53223,31.151598,26.31617
130,34.094376,29.595148,36.31048
131,41.362694,27.041277,31.596031
132,39.639782,21.693129,38.667088
133,40.697422,29.762182,29.540401
134,32.61793,33.950367,33.4317
135,27.293074,38.37033,34.33659
136,30.267256,26.768568,42.964176
137,35.7101,24.60881,39.68109
138,32.924904,32.175117,34.89998
139,33.26332,23.873148,42.863533
140,31.39251,32.54924,36.05825
141,33.343597,32.172417,34.483986
142,32.917877,32.234283,34.84784
143,35.590576,35.178776,29.230654
144,32.698284,26.491001,40.810707
145,33.370365,23.063725,43.565907
146,27.870195,34.28175,37.848053
147,31.699741,25.266747,43.033516
148,36.1593,21.46521,42.375492
149,38.278477,19.580212,42.141315
150,28.47078,45.48089,26.048336
151,31.113869,25.266373,43.61976
152,35.573967,21.678074,42.74796
153,34.741943,36.543938,28.71412
154,32.936306,34.066017,32.99768
155,46.379692,28.109064,25.511244
156,39.415558,18.69894,41.88549
157,29.50435,32.94603,37.54962
158,31.900162,36.109158,31.990683
159,34.028557,29.85638,36.115067
160,39.608837,16.929508,43.461662
161,38.960693,25.550253,35.489056
162,38.738632,17.238533,44.02283
163,34.72437,27.368603,37.907032
164,39.721428,27.801653,32.47692
165,33.751335,32.35449,33.89418
166,33.84987,29.219654,36.930473
167,36.450066,32.307236,31.2427
168,35.495598,31.551746,32.95266
169,37.645004,25.090998,37.264
170,33.56735,30.816893,35.615765
171,34.57513,37.456085,27.968782
172,33.048775,30.8698,36.08143
173,40.182873,45.08243,14.73469
174,35.992622,16.095566,47.911816
175,31.170464,33.57232,35.257217
176,35.49904,21.716763,42.784195
177,37.58914,26.605324,35.80554
178,38.483917,39.274094,22.241985
179,32.021046,34.73731,33.241642
180,33.571617,33.994865,32.433525
181,31.877453,31.72583,36.396717
182,43.407104,30.656433,25.936457
183,34.26222,30.103094,35.63468
184,31.844244,32.540752,35.614998
185,32.14761,34.399296,33.45309
186,41.5575,23.213766,35.228737
187,35.007736,31.451385,33.54088
188,30.34186,34.182766,35.475372
189,43.777153,26.672918,29.549929
190,34.33076,33.060192,32.609047
191,37.883312,20.271053,41.84564
192,28.67045,34.05515,37.274403
193,34.71716,28.627869,36.654976
194,34.523838,30.895817,34.580345
195,32.45428,18.918034,48.627686
196,32.807644,23.208498,43.98385
197,35.395786,36.59674,28.007475
198,39.319473,27.320469,33.360058
199,34.33611,29.484943,36.178944
200,33.44628,34.850346,31.703373
201,32.536945,32.224716,35.238335
202,33.378956,30.638065,35.982983
203,33.392616,30.956963,35.650417
204,39.49921,17.61867,42.88212
205,34.325153,28.637192,37.03766
206,30.987675,25.878895,43.13343
207,32.279217,27.021587,40.69919
208,33.625145,23.762169,42.612682
209,32.951756,28.86733,38.180912
210,39.20092,17.67368,43.125404
211,26.38557,32.93106,40.683372
212,33.49971,23.835102,42.66519
213,33.090927,28.126781,38.782295
214,46.986343,25.73936,27.274296
215,33.30658,33.73335,32.960075
216,38.182217,39.470547,22.347235
217,42.424644,21.963123,35.612236
218,30.034563,34.88335,35.082085
219,39.666245,31.35359,28.98017
220,40.02362,32.047462,27.928915
221,37.038654,34.160786,28.800552
222,32.789307,32.176662,35.03403
223,33.214123,37.119656,29.666224
224,32.436035,32.08848,35.475483
225,31.784418,32.018234,36.197342
226,35.38559,28.409525,36.204884
227,31.221285,30.392384,38.38633
228,36.779697,20.672499,42.547806
229,29.643833,35.207165,35.149006
230,31.547445,31.939585,36.51297
231,34.73697,35.736336,29.526701
232,30.845144,34.19088,34.963978
233,48.06448,26.826624,25.108889
234,33.28416,23.682365,43.03347
235,28.764196,33.043602,38.1922
236,31.572124,32.730923,35.69695
237,38.202633,32.430733,29.366632
238,32.03642,24.915287,43.048294
239,32.42947,29.15171,38.418816
240,31.600004,27.083364,41.31663
241,31.19556,34.303997,34.500443
242,32.120262,33.220802,34.658928
243,31.20381,32.87331,35.92288
244,32.819054,33.53562,33.645325
245,33.59457,29.886951,36.518475
246,44.911346,32.7329,22.355757
247,34.066235,33.20401,32.729755
248,32.513557,30.117306,37.36913
249,32.324936,36.39557,31.279495
250,32.50906,36.123913,31.367025
251,35.352676,22.27528,42.372036
252,41.44361,24.567987,33.9884
253,32.537975,30.335024,37.127003
254,33.33045,22.6628,44.00675
255,31.854511,37.394756,30.750734
256,33.46939,32.211445,34.319164
257,31.475613,25.894142,42.630245
258,29.424042,28.075842,42.500114
259,33.282883,30.390688,36.32643
260,38.48923,26.01212,35.49865
261,32.858494,32.25091,34.8906
262,44.402973,31.24299,24.354029
263,34.962418,32.699524,32.33806
264,31.707853,25.790428,42.501717
265,32.391884,28.384405,39.223717
266,34.245342,30.626795,35.127857
267,38.99704,33.004726,27.998226
268,35.190212,29.595978,35.21381
269,34.39637,22.573135,43.03049
270,30.286974,33.749763,35.963257
271,35.888187,33.64848,30.463335
272,34.26054,26.963074,38.77639
273,32.336693,31.933216,35.730087
274,30.545557,34.58716,34.867287
275,34.064625,35.61855,30.31683
276,33.520313,31.560308,34.919376
277,35.09218,22.45746,42.450363
278,20.26763,57.516956,22.215418
279,32.656635,30.790764,36.5526
280,38.710575,43.65296,17.636469
281,32.732395,35.18206,32.08554
282,30.043163,35.391953,34.564884
283,33.937504,32.06417,33.99833
284,34.976273,29.505905,35.517822
285,30.433517,34.212543,35.35394
286,29.373037,35.522537,35.104427
287,34.239445,27.191622,38.56894
288,42.37248,31.067158,26.560364
289,33.44825,31.290737,35.26101
290,33.561848,30.18162,36.25653
291,31.726128,31.738087,36.53579
292,35.801033,29.665852,34.53311
293,35.417328,31.005102,33.577568
294,34.075832,18.442879,47.48129
295,30.412695,33.03205,36.555256
296,36.20252,34.459774,29.33771
297,32.463757,32.58428,34.95197
298,33.64238,32.215633,34.141983
299,36.25801,27.749569,35.992424
300,34.21305,27.79921,37.987736
301,32.049488,32.363598,35.586914
302,32.226868,36.079792,31.693342
303,40.247288,28.436947,31.315767
304,35.47318,35.802547,28.724274
305,28.061352,42.178585,29.760063
306,32.684258,33.187916,34.127827
307,31.622616,34.261127,34.116253
308,30.570677,33.203644,36.225674
309,29.16773,35.47609,35.356186
310,32.53919,25.455357,42.005455
311,32.40477,26.751337,40.84389
312,31.395283,32.308968,36.295746
313,34.04381,26.572874,39.38331
314,41.79304,39.322105,18.88486
315,34.206245,34.913113,30.880636
316,32.866432,31.39792,35.73564
317,37.945824,35.14691,26.907259
318,37.082973,33.503784,29.41324
319,33.840706,32.01221,34.14708
320,34.152313,28.255585,37.5921
321,34.553085,34.10486,31.34206
322,30.60577,35.960907,33.433327
323,26.033413,40.291847,33.674744
324,32.35665,32.814682,34.82867
325,25.846851,35.289753,38.86339
326,30.69209,33.879982,35.427933
327,32.01743,28.427155,39.555424
328,44.01528,25.513676,30.471043
329,32.89133,34.17092,32.937744
330,47.55922,23.878794,28.561985
331,36.262825,33.359303,30.377865
332,33.686897,27.872774,38.440334
333,32.211933,27.23019,40.557873
334,36.319626,34.468464,29.211912
335,37.870728,25.040699,37.08858
336,32.014023,32.147938,35.83804
337,33.936634,31.208399,34.854965
338,32.65527,35.565617,31.77911
339,33.174465,26.331135,40.4944
340,33.414505,27.651913,38.933582
341,34.00975,31.103588,34.88666
342,30.75972,33.945343,35.294937
343,36.675663,20.531956,42.79238
344,29.28685,15.330833,55.382324
345,29.580673,25.203598,45.21573
346,27.334812,38.67988,33.98531
347,37.383278,31.460718,31.155998
348,34.248314,17.169329,48.58236
349,33.513485,23.819916,42.6666
350,24.972734,38.643284,36.383987
351,43.023014,30.344734,26.632246
352,31.829197,25.331125,42.839684
353,35.157196,22.4495,42.39331
354,34.682354,42.44559,22.872057
355,25.587086,41.693897,32.719017
356,33.164295,35.526688,31.309023
357,40.623215,29.67151,29.705269
358,31.369406,26.135832,42.494755
359,36.850357,20.637512,42.512135
360,34.59458,35.0504,30.355015
361,34.19246,28.999641,36.8079
362,31.713835,35.614773,32.67139
363,35.732353,31.233189,33.034466
364,35.863457,33.02426,31.11228
365,34.996353,34.11566,30.887985
366,38.747597,27.426,33.826412
367,33.549152,33.21662,33.234222
368,30.187046,26.444023,43.36893
369,29.970486,32.899494,37.13002
370,36.7384,31.56321,31.698387
371,31.832733,34.47771,33.689556
372,35.549587,29.86162,34.588795
373,35.39423,27.441555,37.16422
374,35.326515,35.955963,28.717527
375,32.274834,32.725723,34.99944
376,33.134476,33.101418,33.764103
377,34.89268,28.611425,36.49589
378,31.85694,26.570114,41.572945
379,27.182058,32.79876,40.01918
380,33.52011,33.13594,33.34395
381,36.13784,30.337349,33.52481
382,40.63845,17.976816,41.38473
383,34.456554,30.008915,35.534527
384,30.833574,38.249496,30.916933
385,36.812923,34.248463,28.938616
386,34.157787,32.5323,33.309914
387,34.6305,33.056087,32.313408
388,33.705338,29.674316,36.620346
389,38.714348,31.222937,30.062712
390,31.11799,36.03361,32.848396
391,34.51014,21.296598,44.19326
392,34.13689,34.11282,31.750288
393,30.897057,32.524784,36.57816
394,34.722393,28.875784,36.40182
395,33.02534,24.076292,42.89837
396,31.739384,26.295618,41.965
397,32.11255,32.125805,35.76165
398,29.03623,42.44529,28.51848
399,35.731728,36.160774,28.107504
400,32.66614,35.353043,31.980818
401,33.17247,33.43714,33.390385
402,25.938229,42.035515,32.026257
403,32.62883,24.483723,42.887444
404,32.888073,32.12147,34.99046
405,35.34361,22.014812,42.64158
406,30.790085,35.96117,33.248745
407,30.590027,34.73824,34.67173
408,33.579052,35.08013,31.340813
409,34.69934,29.211485,36.08917
410,31.1995,27.560127,41.24038
411,32.929844,33.633198,33.43696
412,31.699821,31.88194,36.418236
413,32.118816,26.297722,41.58346
414,34.793217,29.228527,35.978256
415,35.168446,28.44176,36.38979
416,33.08463,31.150585,35.764786
417,29.771965,35.428913,34.799118
418,34.12963,22.865435,43.004932
419,32.950546,33.829277,33.220177
420,33.79957,32.988365,33.212067
421,35.88593,29.462204,34.65186
422,31.757427,32.110588,36.131992
423,31.558037,29.686096,38.755867
424,40.8163,32.071465,27.112234
425,32.590263,33.29597,34.11376
426,26.60242,36.212574,37.185
427,33.755867,29.276218,36.96791
428,33.728123,23.052288,43.21959
429,36.37346,33.220345,30.406195
430,33.441135,31.531689,35.027184
431,33.30696,32.335613,34.357433
432,32.242702,31.959805,35.797493
433,34.737896,37.73549,27.526613
