,?,n,y
0,82.17013,9.149974,8.679899
1,12.201709,69.40308,18.39521
2,8.156157,6.4669056,85.37694
3,8.227449,6.4083776,85.36417
4,8.378558,6.3936105,85.22784
5,7.990571,6.4164295,85.592995
6,8.99502,6.526421,84.47855
7,7.608597,6.6965194,85.69488
8,81.15217,9.55822,9.289615
9,11.178126,82.647644,6.1742296
10,74.26505,11.603524,14.131418
11,80.903854,11.790167,7.305974
12,80.877945,11.845505,7.276547
13,70.99454,14.109,14.896467
14,79.23855,13.73876,7.0226855
15,16.978285,54.031395,28.990326
16,8.984115,10.327591,80.6883
17,13.302316,80.6865,6.0111833
18,50.54593,20.868687,28.585382
19,8.616852,6.409181,84.97397
20,19.846184,19.317293,60.83653
21,8.008844,7.261093,84.73006
22,7.796997,6.6002107,85.6028
23,80.68153,10.5886345,8.729828
24,17.9128,37.827827,44.25937
25,29.894733,10.380049,59.72522
26,36.447712,13.934636,49.61765
27,10.728915,11.191109,78.07997
28,7.6052003,6.7354136,85.659386
29,49.815742,38.4844,11.6998625
30,82.34576,9.43433,8.219907
31,7.7336216,6.7737565,85.49263
32,8.711312,8.915776,82.37292
33,8.120674,8.900775,82.97855
34,23.51014,10.412202,66.07766
35,8.551222,6.3229747,85.1258
36,11.075428,10.186731,78.73785
37,10.958091,82.83689,6.2050204
38,29.230503,45.169296,25.600204
39,82.05712,9.690548,8.252334
40,82.71594,9.964787,7.3192744
41,13.059926,10.673371,76.26671
42,65.41714,17.699816,16.883049
43,67.71992,11.938925,20.341152
44,81.571754,9.081522,9.346729
45,10.981935,8.971696,80.04637
46,75.40911,15.454491,9.136402
47,7.980274,8.543495,83.47623
48,10.105494,83.565186,6.3293138
49,9.252097,83.01562,7.7322865
50,7.733083,7.0468926,85.220024
51,12.684706,67.5772,19.738094
52,9.913518,83.67418,6.412305
53,82.63188,9.503863,7.864258
54,31.680817,20.691046,47.628136
55,8.094148,8.948128,82.95772
56,7.6105185,6.5681524,85.82133
57,8.448954,6.3126235,85.23842
58,81.68702,10.311598,8.00138
59,29.80822,29.45775,40.734024
60,9.413449,83.99987,6.586679
61,60.859608,31.648277,7.492113
62,7.921534,6.5679007,85.51057
63,7.667769,6.4912586,85.84097
64,8.9452715,6.527453,84.527275
65,8.593258,6.4052715,85.00147
66,36.65282,39.176704,24.17047
67,26.5607,30.849955,42.589344
68,9.017839,6.3092313,84.67293
69,10.621225,7.73681,81.64197
70,8.309255,9.175812,82.51494
71,81.62166,9.373505,9.004829
72,16.976225,56.61589,26.407892
73,8.874152,6.2797947,84.84605
74,11.579061,82.09728,6.323657
75,81.71551,9.103244,9.181256
76,8.01659,7.004416,84.97899
77,12.868264,9.427842,77.703896
78,10.57548,80.61097,8.813559
79,81.84867,10.22325,7.9280734
80,7.761579,6.5627666,85.67566
81,9.022641,6.657925,84.319435
82,9.853524,83.77996,6.3665195
83,22.303219,71.781906,5.9148746
84,7.682301,7.2033725,85.11433
85,15.741764,63.61267,20.645573
86,15.753296,76.89959,7.347115
87,8.671563,8.265043,83.0634
88,81.71889,9.101069,9.180039
89,9.482507,81.6866,8.8309
90,8.808926,7.4267225,83.76435
91,7.9590387,6.700997,85.33996
