,y,n,?
0,36.402756,33.812172,29.78507
1,38.47565,30.462595,31.06175
2,37.13503,27.085129,35.779842
3,37.81768,26.049778,36.132538
4,39.097485,32.758064,28.144451
5,34.783966,32.536896,32.679142
6,31.40333,33.02216,35.57451
7,43.73787,37.578224,18.683907
8,42.99104,31.819931,25.189035
9,48.972904,35.17886,15.84824
10,40.675797,24.916193,34.408016
11,32.440205,29.653913,37.90588
12,38.56631,32.796078,28.637615
13,39.75805,33.682423,26.559526
14,37.10433,25.164705,37.730972
15,26.71054,36.546482,36.74298
16,23.837101,29.364422,46.798477
17,34.984535,30.710653,34.304817
18,34.642757,32.107056,33.250187
19,35.368416,34.35311,30.27848
20,35.45683,30.872595,33.67058
21,31.008629,31.414986,37.57639
22,42.582577,31.567299,25.850122
23,31.26694,36.5914,32.141663
24,22.301435,40.167812,37.530758
25,29.192526,36.978264,33.82921
26,37.83482,35.40556,26.75962
27,30.708897,44.075985,25.215113
28,43.5481,31.595135,24.856766
29,43.536987,32.528706,23.934307
30,42.682762,31.187946,26.12929
31,33.363388,32.090664,34.545944
32,33.95648,31.526619,34.516903
33,42.909054,29.830486,27.260462
34,36.350105,29.03423,34.61566
35,27.733177,37.51739,34.74943
36,39.603672,35.531174,24.865156
37,36.98083,29.008453,34.010715
38,34.818882,36.128693,29.052427
39,38.72462,35.024254,26.251122
40,34.791626,31.981682,33.226692
41,28.139717,38.223976,33.636303
42,36.627663,37.03882,26.333519
43,32.668705,40.584717,26.74658
44,41.223213,29.748953,29.027832
45,40.912743,29.339085,29.748165
46,28.272741,38.67606,33.051205
47,38.971256,26.213455,34.81528
48,35.036808,30.524496,34.438698
49,37.961113,36.194237,25.844648
50,30.400137,28.880993,40.718872
51,38.70156,39.38319,21.915249
52,37.54434,30.859673,31.595984
53,40.94321,26.89118,32.16561
54,35.161583,26.27863,38.559788
55,37.876667,28.890127,33.233208
56,35.604496,30.326372,34.069138
57,32.45009,33.636486,33.91342
58,35.129772,32.58651,32.283722
59,41.447796,28.053846,30.498362
60,40.736557,24.828997,34.43444
61,38.141533,29.80727,32.0512
62,37.65936,31.234465,31.10618
63,44.400505,33.5303,22.069199
64,32.461994,37.332035,30.205969
65,34.738594,34.041576,31.219837
66,34.96232,31.459581,33.578102
67,28.397453,34.825626,36.776928
68,35.890823,29.233578,34.8756
69,29.842737,36.819332,33.33793
70,42.86531,27.254242,29.880445
71,37.661343,36.357563,25.981089
72,33.095497,36.783913,30.120586
73,17.766233,42.047424,40.18634
74,40.732307,34.93822,24.329468
75,39.27324,31.476637,29.250122
76,36.81386,30.584732,32.601414
77,41.82242,27.044931,31.13265
78,26.049932,37.90182,36.048244
79,27.77578,40.36437,31.859854
80,19.447063,42.533173,38.019764
81,26.739416,38.181484,35.079098
82,29.441816,35.371464,35.18672
83,30.501976,36.507954,32.99007
84,29.893871,39.915245,30.19088
85,29.63439,43.465656,26.899961
86,36.08615,27.324448,36.589405
87,42.036484,30.02703,27.936485
88,28.176992,35.89098,35.93203
89,30.880579,47.3352,21.78422
90,33.249153,39.852684,26.89817
91,40.43655,27.654627,31.908825
92,34.320206,41.72195,23.957848
93,34.759693,34.93694,30.303368
94,28.970852,45.518322,25.510826
95,30.485332,27.593815,41.920853
96,32.0999,33.318817,34.581276
97,41.022472,28.86551,30.112024
98,29.72704,36.00741,34.265553
99,25.363865,38.695118,35.941017
100,31.173786,35.30469,33.521526
101,24.852226,40.143597,35.004177
102,20.524803,40.518482,38.956715
103,27.902832,35.236416,36.860744
104,34.656403,32.693817,32.64978
105,36.462322,33.779636,29.758045
106,34.652866,30.15028,35.19685
107,31.938133,30.667187,37.39468
108,30.593754,35.415527,33.990726
109,32.941185,39.526436,27.532383
110,35.73413,24.776525,39.489346
111,36.444046,26.997551,36.558403
112,34.855453,30.211008,34.933533
113,32.53729,32.95889,34.503822
114,33.902786,32.70222,33.394993
115,34.95901,36.33142,28.709576
116,37.694485,26.950285,35.35523
117,38.76295,27.61344,33.62361
118,28.656322,37.074146,34.269535
119,30.361134,35.942642,33.69622
120,30.209526,31.317333,38.473137
121,23.897827,27.87776,48.224415
122,34.31634,27.259659,38.424004
123,30.529373,31.833279,37.637352
124,27.11757,29.449093,43.433342
125,26.167336,39.47993,34.352737
126,26.94105,29.867088,43.191864
127,25.533438,30.470634,43.995934
128,28.128094,30.787897,41.084007
129,34.422382,31.951683,33.625935
130,18.120676,44.53313,37.34619
131,34.432888,38.55983,27.007282
132,26.228586,38.570534,35.200886
133,27.595774,37.981724,34.422504
134,32.453747,33.888405,33.657845
135,38.026634,30.824417,31.148947
136,31.330967,29.243671,39.425358
137,32.061256,42.853336,25.085411
138,27.329788,31.180042,41.490173
139,34.487858,43.899387,21.612755
140,28.420958,33.32221,38.25684
141,28.59383,34.42859,36.977585
142,38.83628,30.338514,30.82521
143,32.5439,30.881199,36.5749
144,34.24187,29.39696,36.361168
145,41.10694,31.966198,26.92686
146,32.301025,36.483536,31.21544
147,38.34908,33.40561,28.245317
148,30.881496,37.25435,31.864151
149,40.748146,33.089443,26.16241
150,42.320396,32.268448,25.411156
151,36.170788,28.71347,35.115746
152,29.656404,41.47169,28.8719
153,38.731808,27.773867,33.49433
154,34.055378,36.407215,29.537409
155,41.05795,29.743511,29.198545
156,45.23496,30.738214,24.026827
157,38.918755,26.181963,34.89928
158,37.344635,34.86745,27.787909
159,35.78433,28.039461,36.176205
160,22.72666,38.310272,38.96307
161,34.65411,34.295845,31.050045
162,35.65268,29.986074,34.361244
163,32.74829,34.38043,32.87128
164,34.09086,35.040756,30.868383
165,28.763065,48.961826,22.27511
166,31.517038,44.364933,24.118029
167,34.74811,33.354027,31.897858
168,31.731056,40.827255,27.441687
169,19.560259,42.096283,38.34346
170,32.1269,29.334831,38.53827
171,32.82775,32.20706,34.965187
172,28.103992,40.05996,31.83605
173,33.857273,29.022364,37.12036
174,35.138344,31.99047,32.871185
175,27.62118,38.388386,33.990437
176,34.039883,32.54487,33.415245
177,28.836477,41.40495,29.758575
178,19.949951,38.931557,41.11849
179,28.19873,32.555286,39.24598
180,27.233446,47.692917,25.073633
181,31.272581,30.15486,38.572556
182,31.17404,32.790554,36.035408
183,32.153805,31.616053,36.230145
184,33.81743,29.24226,36.940308
185,39.995583,34.971237,25.033178
186,34.87273,38.23432,26.892948
187,34.73763,27.425745,37.83662
188,36.19227,40.45332,23.354404
189,27.260218,33.48282,39.25696
190,32.666477,36.049927,31.283592
191,33.820023,38.44441,27.735567
192,29.213562,39.053505,31.732937
193,32.526062,34.55415,32.91979
194,30.528795,36.084435,33.38677
195,34.366505,38.740723,26.892773
196,21.072067,39.312485,39.615448
197,25.642311,40.91779,33.439903
198,42.222317,35.259,22.518677
199,34.202652,33.962685,31.834665
200,39.74422,24.207869,36.047913
201,33.872528,38.749443,27.37803
202,24.147802,41.977577,33.874615
203,35.16244,42.091034,22.746527
204,36.168495,31.202293,32.62921
205,26.225248,34.655224,39.119526
206,19.262577,40.434513,40.30291
207,38.1103,40.79837,21.091335
208,44.061592,30.265835,25.672575
209,36.55012,37.227814,26.22207
210,38.188835,28.931412,32.879753
211,18.160587,43.95252,37.886887
212,39.197483,32.828445,27.974064
213,33.809536,30.341917,35.848545
214,38.11149,29.99159,31.896925
215,32.40265,39.90358,27.693771
216,38.955837,34.358322,26.68584
217,32.74279,32.150414,35.106796
218,42.522804,27.376265,30.100939
219,32.912777,34.256737,32.83049
220,35.768307,36.02812,28.203571
221,19.338022,39.38106,41.28092
222,25.861237,41.556824,32.581936
223,34.08202,32.352894,33.565086
224,35.643517,30.889685,33.466805
225,36.85023,35.48101,27.668756
226,36.675148,41.891785,21.433077
227,29.853758,38.522736,31.623507
228,40.5225,26.470963,33.00654
229,45.042114,29.281313,25.676579
230,29.453125,40.694294,29.852577
231,44.189728,32.51022,23.300055
232,39.68558,32.28561,28.028816
233,25.651419,37.156197,37.192383
234,28.470951,40.780025,30.749025
235,26.909575,38.8169,34.273525
236,22.897608,38.844692,38.2577
237,32.092674,34.297802,33.60952
238,24.722418,41.93699,33.340595
239,31.78303,38.62473,29.592245
240,30.763609,33.401005,35.835384
241,35.336136,29.978504,34.68536
242,41.733368,31.162115,27.104515
243,29.960829,40.265686,29.77349
244,23.528112,37.85977,38.61211
245,29.19451,40.65428,30.151209
246,38.743515,29.235235,32.021255
247,34.649323,33.269863,32.080814
248,21.744814,41.91115,36.344036
249,40.88429,33.22302,25.892693
250,36.770683,31.243818,31.985504
251,41.934525,29.826155,28.239313
252,36.894875,30.685654,32.41947
253,27.532635,35.091774,37.375587
254,31.353456,40.428318,28.218227
255,23.120047,48.400967,28.478987
256,29.804924,35.705692,34.48939
257,28.367481,37.37818,34.25433
258,28.436914,37.869114,33.693974
259,28.884258,36.859833,34.255913
260,24.890167,39.06635,36.043484
261,24.443344,48.02355,27.533106
262,27.096361,41.815804,31.087833
263,33.08779,40.336887,26.575315
264,30.985704,37.48525,31.52905
265,22.094158,41.765957,36.13989
266,32.151855,35.387226,32.460915
267,27.703794,47.06424,25.231964
268,31.179333,35.340828,33.479843
269,38.542667,28.088486,33.368843
270,43.432842,31.130196,25.436962
271,27.737171,39.70872,32.5541
272,22.11207,42.350723,35.53721
273,37.233288,38.205105,24.56161
274,31.348694,35.402924,33.248383
275,29.523056,40.35778,30.11917
276,36.96108,40.92698,22.111938
277,36.29425,27.259224,36.446526
278,37.202454,33.386673,29.410877
279,25.43328,40.057484,34.50923
280,24.597952,38.50016,36.90189
281,41.33336,31.08092,27.58572
282,19.574413,41.828743,38.59684
283,36.367012,37.70798,25.92501
284,34.83108,40.594803,24.574112
285,34.51182,34.39427,31.09391
286,36.825165,29.10623,34.068604
287,38.11848,28.895077,32.986446
288,44.067097,33.98092,21.951988
289,26.568783,39.768867,33.662346
290,33.056503,35.12127,31.822227
291,31.796785,39.328964,28.874249
292,36.74116,35.33924,27.919594
293,47.253376,30.808315,21.938307
294,29.638172,35.67578,34.686043
295,30.551592,36.581345,32.86706
296,39.988598,29.758116,30.253292
297,36.11219,32.181614,31.706196
298,39.209377,29.263624,31.527004
299,22.483429,39.017784,38.498783
300,34.090405,34.68706,31.222538
301,32.566597,35.698704,31.734701
302,31.671366,42.952396,25.376234
303,36.028233,31.183226,32.78854
304,21.5311,39.50911,38.959785
305,28.77203,37.196537,34.031437
306,30.288414,39.091503,30.62008
307,24.31093,39.070232,36.618843
308,30.160835,33.781338,36.057823
309,40.19798,30.055714,29.746311
310,33.5331,32.652016,33.81489
311,38.808247,31.711489,29.480263
312,39.445175,31.00685,29.547981
313,44.091194,31.048008,24.860796
314,34.93605,29.363766,35.700184
315,26.529964,50.76458,22.705452
316,29.8658,35.479893,34.654305
317,18.76926,44.41469,36.81605
318,18.635576,42.526764,38.837654
319,39.984165,35.992943,24.022894
320,30.916632,33.411728,35.67165
321,34.767155,33.557465,31.675383
322,39.59215,28.888952,31.518894
323,39.15974,29.588478,31.251776
324,41.922306,31.460884,26.616816
325,40.128033,27.346155,32.525818
326,36.01944,29.554308,34.42625
327,40.137054,30.961359,28.901588
328,31.16788,35.016975,33.81514
329,38.14551,30.565456,31.289026
330,25.715443,31.317356,42.967205
331,35.98057,35.49687,28.522566
332,33.788597,35.464436,30.746967
333,36.3541,29.244694,34.401207
334,31.203106,32.227463,36.569427
335,15.198689,42.481632,42.31968
336,26.160744,41.552032,32.28723
337,24.485054,39.311348,36.203594
338,24.489948,42.167168,33.342884
339,24.760395,38.79795,36.441654
340,29.539436,33.125687,37.33488
341,33.253185,33.844994,32.901817
342,32.072388,35.469456,32.458157
343,26.736277,38.031868,35.231857
344,30.420616,37.88188,31.697508
345,19.140654,43.070312,37.789036
346,19.094656,41.525745,39.379604
347,28.001572,37.42594,34.57249
348,39.514996,32.51983,27.965176
349,36.47162,34.96227,28.566113
350,30.01414,37.495594,32.490273
351,37.162216,32.539444,30.298334
352,27.911892,38.91199,33.176113
353,36.512524,28.790277,34.697205
354,31.05515,34.048836,34.89601
355,35.505707,33.047398,31.44689
356,27.048492,52.13037,20.82114
357,41.803127,32.21689,25.979984
358,32.832565,35.1348,32.032635
359,30.802622,45.195152,24.002222
360,37.43702,40.630226,21.932762
361,39.687027,26.971415,33.341557
362,38.58115,25.74583,35.67302
363,36.59539,30.950918,32.45369
364,40.22551,31.531996,28.242498
365,31.668821,39.66657,28.664612
366,34.001476,34.580585,31.417938
367,35.210716,27.921429,36.86785
368,38.677464,28.07624,33.246296
369,36.195053,29.884058,33.920895
370,54.708473,31.179274,14.112252
371,44.809986,29.98768,25.202332
372,38.67389,30.822918,30.50319
373,39.175343,23.91278,36.911877
374,39.158226,30.347534,30.494244
375,33.53666,30.23698,36.22636
376,35.585373,31.07687,33.337757
377,33.145317,36.22266,30.632019
378,32.994877,37.458828,29.546297
379,39.713905,28.631231,31.654871
380,37.53831,32.049404,30.412283
381,38.225502,29.131826,32.64267
382,31.650942,34.19186,34.1572
383,34.8998,33.155666,31.94453
384,37.52833,30.454708,32.016956
385,28.956112,34.750954,36.29293
386,44.14724,27.867397,27.98537
387,38.4548,32.33082,29.214388
388,26.144304,49.247627,24.60807
389,25.318571,30.203962,44.47746
390,29.561863,36.117954,34.32018
391,34.769634,31.315283,33.915077
392,34.427876,33.885204,31.686922
393,33.242207,27.924324,38.833473
394,37.57952,26.970873,35.449608
395,52.25223,32.42517,15.322596
396,32.753334,32.33407,34.9126
397,37.348026,27.181974,35.469997
398,55.05886,30.512566,14.428573
399,36.90011,31.60592,31.493967
400,38.184814,32.333607,29.481579
401,30.235657,40.108673,29.655663
