,y,n,?
0,30.670712,34.497055,34.832233
1,69.80431,14.204541,15.991145
2,16.244638,34.310123,49.445232
3,17.918747,23.065147,59.01611
4,66.04534,19.53311,14.421543
5,68.15499,13.883744,17.961264
6,50.62526,28.111246,21.263493
7,14.504492,45.2108,40.28471
8,69.60414,14.597374,15.798487
9,13.183333,60.67597,26.140701
10,33.231293,45.978287,20.790424
11,19.081116,59.786533,21.132343
12,22.130322,39.570896,38.29878
13,70.322014,15.135099,14.542895
14,68.344894,17.413149,14.24196
15,14.38286,62.43784,23.1793
16,62.401943,22.38617,15.211884
17,13.830378,53.737034,32.43259
18,64.10804,17.363455,18.528511
19,24.864098,27.339373,47.79652
20,28.57142,22.731192,48.697384
21,31.488287,41.573235,26.938475
22,70.14688,14.441557,15.411565
23,70.19413,15.535323,14.270542
24,56.61208,20.069174,23.318745
25,23.588688,55.96766,20.443659
26,69.793365,14.484857,15.721776
27,13.410096,47.40375,39.18615
28,23.898008,22.819986,53.282005
29,17.019754,60.199238,22.781008
30,69.42278,14.852164,15.725057
31,50.081867,24.494911,25.42322
32,16.929127,57.01744,26.053434
33,14.248252,25.304773,60.446976
34,70.17208,14.526595,15.301326
35,14.047818,63.06146,22.89073
36,69.373314,16.549856,14.076832
37,29.71035,26.15678,44.132866
38,18.811096,43.920986,37.267914
39,45.578133,17.65783,36.76404
40,40.349228,22.544954,37.105812
41,13.330121,54.70083,31.96905
42,20.371685,45.87998,33.748337
43,12.222638,52.563446,35.213913
44,60.94018,15.469869,23.589952
45,69.88098,14.1903105,15.928711
46,14.658078,50.202442,35.13948
47,15.975163,40.585743,43.439095
48,14.605197,25.140392,60.254414
49,63.741814,21.565613,14.692574
50,51.578796,17.2124,31.208801
51,65.64433,14.315468,20.0402
52,53.71649,29.74665,16.53686
53,46.850395,23.336086,29.813519
54,27.14921,31.560207,41.290585
55,14.742539,23.218317,62.039143
56,68.02361,13.800661,18.17573
57,12.066657,57.559822,30.373516
58,70.103165,15.219839,14.676995
59,69.49917,14.11873,16.382105
60,15.728642,22.319109,61.952255
61,12.648853,47.945534,39.405613
62,68.66019,14.018531,17.32128
63,37.132805,36.381294,26.485893
64,69.723526,14.222852,16.053629
65,55.32059,26.730576,17.948835
66,19.819847,59.72379,20.456364
67,12.273698,28.887838,58.838463
68,30.318514,49.471794,20.20969
69,60.41507,24.262218,15.322712
70,14.34855,54.451603,31.199842
71,69.434525,16.349619,14.215859
72,29.40467,36.697685,33.897644
73,12.4240885,57.269226,30.306683
74,15.067051,58.445538,26.487408
75,69.97033,14.821709,15.20797
76,70.43001,15.072177,14.497813
77,54.93711,25.993963,19.068928
78,13.37226,23.103205,63.524525
79,27.306366,49.855804,22.837831
80,18.300129,25.110537,56.589336
81,23.23035,19.955645,56.81401
82,22.430193,56.724518,20.845295
83,70.26148,15.5240555,14.214465
84,14.071943,23.773632,62.15443
85,13.554843,62.190228,24.254929
86,11.952115,36.096764,51.951115
87,43.009922,30.930004,26.060072
88,13.311474,62.794453,23.894073
89,16.653719,61.46784,21.878437
90,18.300495,60.3821,21.317404
91,49.41754,27.75027,22.832191
92,42.96881,38.501686,18.529503
93,13.657735,61.259968,25.082293
94,64.028725,15.9980345,19.973232
95,13.88572,24.019367,62.094913
96,15.074013,61.490135,23.435854
97,38.391243,40.147392,21.461365
98,11.497127,41.546215,46.956654
99,14.477401,61.72678,23.795816
100,59.43133,20.385473,20.183195
101,70.64988,14.70997,14.640148
102,16.635008,61.07105,22.293941
103,25.7711,50.0348,24.194094
104,13.718782,24.545027,61.73619
105,70.09005,14.577844,15.3321085
106,15.913373,27.023888,57.06274
107,19.305891,21.062698,59.631413
108,14.911797,24.175695,60.912506
109,20.601889,25.738201,53.65991
110,40.016243,27.349419,32.634342
111,16.807747,30.403313,52.788937
112,20.154858,38.92598,40.919163
113,12.454385,56.98055,30.565065
114,44.69935,34.08188,21.218773
115,35.020428,45.438763,19.540806
